x	y	z	w	pm_concentration
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.28506	4.55358	-0.0215923	0.999767	26
-2.27901	4.55332	-0.022901	0.999738	26
-2.27203	4.55295	-0.0335432	0.999437	26
-2.26556	4.5525	-0.0368573	0.999321	26
-2.25808	4.55189	-0.0490632	0.998796	26
-2.25088	4.55109	-0.0644843	0.997919	26
-2.24416	4.55015	-0.075888	0.997116	26
-2.23772	4.54914	-0.0789331	0.99688	26
-2.23086	4.54801	-0.0867601	0.996229	26
-2.22398	4.54676	-0.0949292	0.995484	26
-2.2172	4.54541	-0.101877	0.994797	26
-2.21015	4.54394	-0.105001	0.994472	26
-2.20132	4.54199	-0.113069	0.993587	26
-2.19418	4.54032	-0.116363	0.993207	26
-2.18692	4.53857	-0.120696	0.99269	26
-2.1796	4.53674	-0.125892	0.992044	26
-2.16639	4.53329	-0.128575	0.9917	26
-2.14611	4.52793	-0.128834	0.991666	26
-2.12186	4.52154	-0.128142	0.991756	26
-2.09757	4.51515	-0.128056	0.991767	26
-2.07451	4.50909	-0.128402	0.991722	26
-2.0519	4.50318	-0.126411	0.991978	26
-2.03555	4.49895	-0.125026	0.992153	26
-2.02064	4.49514	-0.12442	0.99223	26
-2.00643	4.48992	-0.121381	0.992606	26
-1.99037	4.48595	-0.119909	0.992785	26
-1.97922	4.48324	-0.118436	0.992962	26
-1.9682	4.48057	-0.118002	0.993013	26
-1.95824	4.4782	-0.114275	0.993449	26
-1.94843	4.47596	-0.108638	0.994081	26
-1.93869	4.47381	-0.108205	0.994129	26
-1.9291	4.47172	-0.104734	0.9945	26
-1.92013	4.46983	-0.103258	0.994655	26
-1.91095	4.4679	-0.103345	0.994646	26
-1.90515	4.46668	-0.102998	0.994682	26
-1.90335	4.46631	-0.0948351	0.995493	26
-1.90205	4.46607	-0.0864051	0.99626	26
-1.90037	4.46578	-0.0778819	0.996963	26
-1.89873	4.46553	-0.0701365	0.997537	26
-1.89852	4.4655	-0.0611857	0.998126	26
-1.89862	4.46527	-0.0587094	0.998275	26
-1.89786	4.46518	-0.0518259	0.998656	26
-1.89697	4.4651	-0.0382262	0.999269	26
-1.89543	4.465	-0.0253174	0.999679	26
-1.89458	4.46496	-0.0153711	0.999882	26
-1.89458	4.46496	-0.013975	0.999902	26
-1.89467	4.46496	-0.0146731	0.999892	26
