counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration	max_concentration
0	-1.89462	4.46496	0	0	1	1671196209.640491157	25.675	64.35	1	25.8375	12.8936	26
1	-0.907741	4.46098	0.1071	0.0535244	0.998567	1671196222.840396123	25.675	64.35	1	25.8375	12.8936	26
2	0.0924884	4.45037	0	0	1	1671196236.940907517	25.675	64.35	1	25.8375	12.8936	26
3	1.09325	4.46397	0	0	1	1671196252.140357009	25.675	64.35	1	25.8375	12.8936	26
4	1.12293	3.4607	-1.5708	-0.707107	0.707107	1671196268.340419529	27.65	69.3	1	27.825	13.8855	28
5	0.155059	3.46858	-3.14159	-1	6.12323e-17	1671196284.340350401	34.825	87.65	2	53.4125	17.5593	36
6	-0.848821	3.46057	-3.14159	-1	6.12323e-17	1671196297.140341566	40.425	101.85	2	62.2125	20.3852	42
7	-1.85481	3.4663	-3.14159	-1	6.12323e-17	1671196311.840370632	45.025	113.05	1	45.5125	22.6075	46
8	-1.88686	2.50853	-1.5708	-0.707107	0.707107	1671196331.040342432	47.775	120.55	3	98.8875	24.1503	50
9	-0.903563	2.44929	0	0	1	1671196350.840431088	52.425	131.85	2	80.2125	26.437	54
10	0.116326	2.45028	0	0	1	1671196364.840336204	53.325	133.65	1	53.6625	26.7791	54
11	1.08866	2.45364	0	0	1	1671196379.840323733	239.788	666.075	6	1238.89	126.904	373
12	1.12321	1.48741	-1.5708	-0.707107	0.707107	1671196403.340401895	418.75	1063	5	1336.88	212.493	451
13	0.140551	1.4736	-3.14159	-1	6.12323e-17	1671196418.540374261	285.112	800.725	6	1525.56	148.615	461
14	-0.845432	1.47759	-3.14159	-1	6.12323e-17	1671196431.140561157	247.062	619.625	1	249.031	124.055	251
15	-1.8534	1.4828	-3.14159	-1	6.12323e-17	1671196443.940304656	249.137	624.775	1	251.069	125.111	253
16	-1.92054	0.47082	-1.5708	-0.707107	0.707107	1671196461.940305818	244.488	614.475	4	624.244	123.918	251
17	-0.899065	0.453469	0	0	1	1671196479.740387148	192.25	490.5	5	626.125	98.4568	212
18	0.0796376	0.45739	0	0	1	1671196493.440510739	143.275	365.05	5	464.138	73.4616	157
19	1.07911	0.466245	0	0	1	1671196506.440370483	252.5	697.5	5	1088.75	133.521	385
20	1.11316	-0.522898	-1.5708	-0.707107	0.707107	1671196529.040336218	487.05	1262.6	7	2263.02	253.284	577
21	0.147232	-0.52928	-3.14159	-1	6.12323e-17	1671196553.840306835	261.337	657.175	2	399.669	131.755	269
22	-0.860557	-0.539482	-3.14159	-1	6.12323e-17	1671196566.840303742	282.237	714.475	5	891.119	143.487	300
23	-1.84275	-0.51858	-3.14159	-1	6.12323e-17	1671196579.440304675	315.825	793.65	4	805.912	159.96	324
24	-1.9084	-1.52189	-1.5708	-0.707107	0.707107	1671196602.940401356	297.675	750.35	4	768.838	151.515	310
25	-0.923216	-1.54451	0	0	1	1671196623.740412437	221.175	559.35	4	578.588	112.191	234
26	0.0820569	-1.53229	0	0	1	1671196636.740333309	531.213	1496.93	10	4610.61	275.91	869
27	1.09645	-1.54293	0	0	1	1671196649.740323948	564.513	1471.53	7	2679.76	289.799	685
28	1.136	-2.49464	-1.5708	-0.707107	0.707107	1671196665.340331797	627.025	1578.55	4	1611.51	316.623	649
29	0.153089	-2.52031	-3.14159	-1	6.12323e-17	1671196681.640368257	724.713	1825.93	6	2621.36	368.978	753
30	-0.852524	-2.50022	-3.14159	-1	6.12323e-17	1671196697.040345143	515	1300	3	1067.5	260.598	540
31	-1.85551	-2.53099	-3.14159	-1	6.12323e-17	1671196709.840345877	575.162	1452.32	5	1797.58	292.497	604
