counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration
0	-1.90959	4.43395	0	0	1	1671333383.837999530	25.3375	63.675	2	38.6688	12.781
1	-0.888032	4.45003	0.0370768	0.0185373	0.999828	1671333397.437995758	24.725	62.45	5	77.3625	12.637
2	0.0755834	4.47434	0	0	1	1671333411.238037761	25.3125	64.125	4	66.6562	12.8451
3	1.07623	4.45722	0	0	1	1671333426.038019341	25.7875	65.075	3	53.3937	13.0557
4	1.12522	3.49911	-1.5708	-0.707107	0.707107	1671333448.238002929	26.05	65.6	2	40.025	13.1373
5	0.134923	3.46762	-3.14159	-1	6.12323e-17	1671333464.338026442	25.825	65.15	3	53.4125	13.07
6	-0.847027	3.46981	-3.14159	-1	6.12323e-17	1671333476.938083493	25.55	64.6	5	80.275	13.0336
7	-1.8682	3.46693	-3.14159	-1	6.12323e-17	1671333490.640522659	25.225	63.95	4	66.6125	12.8122
8	-1.90597	2.48478	-1.5708	-0.707107	0.707107	1671333509.237979571	28.2625	71.025	2	43.1312	14.2513
9	-0.911505	2.46429	0	0	1	1671333530.038044710	28.3625	71.725	3	59.1813	14.3626
10	0.113205	2.45711	0	0	1	1671333544.038022955	32.125	81.75	4	86.0625	16.3699
11	1.0977	2.45653	0	0	1	1671333556.837989042	29.9875	77.975	5	104.994	15.302
12	1.1221	1.50073	-1.5708	-0.707107	0.707107	1671333573.137988352	68.0875	171.675	3	140.544	34.4474
13	0.145832	1.47029	-3.14159	-1	6.12323e-17	1671333588.938020005	69.1625	176.325	5	224.581	35.2595
14	-0.849125	1.47188	-3.14159	-1	6.12323e-17	1671333602.738015773	73.8875	187.275	4	194.944	37.5244
15	-1.84022	1.4757	-3.14159	-1	6.12323e-17	1671333615.937975183	76.6625	192.825	4	196.331	38.9155
16	-1.89819	0.49787	-1.5708	-0.707107	0.707107	1671333632.738010301	123.062	315.125	7	544.531	63.0871
17	-0.851515	0.452248	0	0	1	1671333650.438046315	112.25	288.5	6	440.125	58.1843
18	0.0958724	0.451512	0	0	1	1671333664.837955879	111.637	281.775	5	348.319	56.9206
19	1.08477	0.464915	0	0	1	1671333678.437954088	104.887	266.275	4	278.444	53.2402
20	1.11431	-0.492617	-1.5708	-0.707107	0.707107	1671333693.437995280	171.775	433.55	1	175.887	86.2934
21	0.156902	-0.533319	-3.14159	-1	6.12323e-17	1671333710.637976903	106.875	272.25	5	345.938	54.6984
22	-0.864509	-0.540554	-3.14159	-1	6.12323e-17	1671333724.637996643	200.488	533.475	7	1027.74	102.73
23	-1.87614	-0.542859	-3.14159	-1	6.12323e-17	1671333738.938403347	78.15	208.3	9	507.075	41.0656
24	-1.89293	-1.54038	-1.5708	-0.707107	0.707107	1671333756.137946809	203.038	516.075	6	761.519	104.939
25	-0.876575	-1.54908	0	0	1	1671333773.337970902	118.838	306.675	7	542.419	61.9625
26	0.10931	-1.54492	0	0	1	1671333786.738028182	214.15	587.8	10	1702.07	112.357
27	1.09162	-1.52455	0	0	1	1671333799.938079680	109.275	278.05	6	411.638	55.7957
28	1.10216	-2.49549	-1.5708	-0.707107	0.707107	1671333815.437995201	61.4125	160.325	5	218.206	31.9036
29	0.126769	-2.53135	-3.14159	-1	6.12323e-17	1671333831.838010429	61.55	156.1	6	228.775	31.467
30	-0.856816	-2.51964	-3.14159	-1	6.12323e-17	1671333844.837975187	59.8125	153.125	6	230.906	30.8501
31	-1.85427	-2.55993	-3.14159	-1	6.12323e-17	1671333860.437998935	54.8	142.6	5	192.4	28.2909
