counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration
0	-1.91036	4.44599	0	0	1	1671332191.743578124	29.75	75	2	45.875	15.0045
1	-0.877411	4.46048	0.0443914	0.0221939	0.999754	1671332205.143601780	30.625	77.25	4	79.3125	15.5504
2	0.0894689	4.46464	0	0	1	1671332217.743574602	30.4875	76.475	2	46.2438	15.3776
3	1.09872	4.45189	0	0	1	1671332232.343684041	29.35	73.7	4	74.675	14.9341
4	1.11618	3.50411	-1.5708	-0.707107	0.707107	1671332248.843567025	31.475	78.95	4	79.7375	15.9846
5	0.155472	3.48422	-3.14159	-1	6.12323e-17	1671332264.243605163	31.8625	80.225	4	81.9313	16.1791
6	-0.845884	3.47089	-3.14159	-1	6.12323e-17	1671332276.843585565	32	80.5	1	32.5	16.0712
7	-1.85095	3.47201	-3.14159	-1	6.12323e-17	1671332289.843578280	32.3375	81.175	2	49.1688	16.3112
8	-1.88538	2.47234	-1.5708	-0.707107	0.707107	1671332307.043578053	37.075	94.15	5	118.537	18.9261
9	-0.920612	2.46705	0	0	1	1671332326.043583024	43.0375	112.575	5	154.019	22.091
10	0.10786	2.45576	0	0	1	1671332339.543575246	44.525	112.55	4	116.262	22.6339
11	1.08444	2.45497	0	0	1	1671332352.143571591	36.175	92.35	2	58.0875	18.2084
12	1.11243	1.48212	-1.5708	-0.707107	0.707107	1671332373.943571272	47.1875	123.875	5	171.094	24.2074
13	0.145556	1.46127	-3.14159	-1	6.12323e-17	1671332390.943597360	85.8875	222.775	7	399.944	44.1679
14	-0.856414	1.47525	-3.14159	-1	6.12323e-17	1671332405.743570041	69.5125	180.525	10	449.756	36.1374
15	-1.842	1.4578	-3.14159	-1	6.12323e-17	1671332418.743650233	56.0125	141.025	3	115.006	28.369
16	-1.90089	0.507094	-1.5708	-0.707107	0.707107	1671332438.543633299	69.325	175.15	5	217.163	35.3135
17	-0.920438	0.458911	0	0	1	1671332454.443587018	116.412	302.325	7	544.706	60.0906
18	0.0916279	0.462488	0	0	1	1671332466.843573957	117.25	299.5	6	448.625	59.574
19	1.08031	0.468035	0	0	1	1671332480.043600233	124.463	313.425	4	320.231	63.1941
20	1.11373	-0.487241	-1.5708	-0.707107	0.707107	1671332496.243588872	134.538	346.575	5	454.769	68.2239
21	0.158624	-0.553712	-3.14159	-1	6.12323e-17	1671332513.443575847	187.012	495.025	6	819.506	99.2361
22	-0.862917	-0.542856	-3.14159	-1	6.12323e-17	1671332527.143591989	208.25	531	6	791.125	106.235
23	-1.84527	-0.53449	-3.14159	-1	6.12323e-17	1671332540.143552876	60	200	10	830	36.5883
24	-1.91681	-1.52423	-1.5708	-0.707107	0.707107	1671332559.543604862	60.8875	174.275	10	555.444	32.3358
25	-0.905844	-1.54406	0	0	1	1671332583.143562831	134.4	343.8	7	592.2	68.8027
26	0.101733	-1.53194	0	0	1	1671332596.143610498	249.725	634.45	5	799.862	127.13
27	1.10174	-1.49657	0	0	1	1671332611.943554479	108.1	277.2	5	359.05	55.8405
28	1.1205	-2.51965	-1.5708	-0.707107	0.707107	1671332628.843620244	69.225	174.45	3	142.613	34.984
29	0.145629	-2.53073	-3.14159	-1	6.12323e-17	1671332644.843572340	40.75	102.5	6	146.375	20.8662
30	-0.849218	-2.533	-3.14159	-1	6.12323e-17	1671332657.643568692	53.875	137.75	6	206.938	27.407
31	-1.84715	-2.53625	-3.14159	-1	6.12323e-17	1671332671.443551546	50.9125	133.325	8	277.456	26.5151
