counter	x	y	theta	z	w	time	mean_concentration	pi_concentration	bout_concentration	sc_concentration	msc_concentration
0	-1.87624	4.43899	0	0	1	1671263608.242780755	25.1125	63.725	3	53.0563	12.7376
1	-0.902387	4.4341	0.0350839	0.0175411	0.999846	1671263624.642786070	25.15	63.8	4	66.575	12.8114
2	0.108491	4.44233	0	0	1	1671263640.242808914	24.9	62.8	1	25.45	12.504
3	1.07939	4.46532	0	0	1	1671263654.842804452	24.5625	61.625	2	37.2812	12.3892
4	1.11462	3.51286	-1.5708	-0.707107	0.707107	1671263671.742785922	24.5625	62.125	6	90.2812	12.5732
5	0.14172	3.46517	-3.14159	-1	6.12323e-17	1671263686.742776500	26.475	67.45	2	42.2375	13.3657
6	-0.857169	3.45569	-3.14159	-1	6.12323e-17	1671263701.542882923	30.125	76.25	2	47.0625	15.2025
7	-1.851	3.4738	-3.14159	-1	6.12323e-17	1671263714.542781115	32.7	82.4	4	84.35	16.5993
8	-1.89248	2.49152	-1.5708	-0.707107	0.707107	1671263733.542772152	37.65	94.8	4	96.825	19.1091
9	-0.875977	2.45373	0	0	1	1671263749.542830242	26.3	66.1	3	53.65	13.3119
10	0.0826053	2.46455	0	0	1	1671263762.642785333	25.7875	65.075	2	39.8937	13.006
11	1.07452	2.46407	0	0	1	1671263775.442784541	25.6375	64.775	2	39.8187	12.931
12	1.10989	1.49354	-1.5708	-0.707107	0.707107	1671263791.242791568	26.4125	66.825	3	55.2062	13.4005
13	0.152397	1.46402	-3.14159	-1	6.12323e-17	1671263814.442798856	27.775	70.05	3	57.3875	14.0921
14	-0.857413	1.47416	-3.14159	-1	6.12323e-17	1671263827.442833383	26.6625	67.825	5	85.8313	13.6872
15	-1.84413	1.46563	-3.14159	-1	6.12323e-17	1671263840.042828751	30.5375	78.075	3	66.2688	15.4445
16	-1.90545	0.502171	-1.5708	-0.707107	0.707107	1671263859.542763553	44.5375	117.575	8	250.269	23.2971
17	-0.884051	0.449432	0	0	1	1671263875.942847112	27.6625	69.825	4	71.8313	14.0398
18	0.103003	0.447543	0	0	1	1671263889.942781110	29.25	75	6	113.625	14.9654
19	1.12738	0.43696	0	0	1	1671263905.642794728	29.4625	74.425	2	45.7313	14.8565
20	1.11763	-0.507699	-1.5708	-0.707107	0.707107	1671263929.242760172	35.55	89.6	5	110.275	18.1064
21	0.143426	-0.53294	-3.14159	-1	6.12323e-17	1671263946.242906411	111.125	284.75	8	555.562	57.1214
22	-0.859379	-0.530979	-3.14159	-1	6.12323e-17	1671263959.242829755	111.4	280.8	5	345.7	56.6343
23	-1.84147	-0.533746	-3.14159	-1	6.12323e-17	1671263972.242942325	185.887	484.775	7	883.944	96.1934
24	-1.89812	-1.52459	-1.5708	-0.707107	0.707107	1671263988.942813506	109.787	276.575	5	339.894	55.7288
25	-0.877129	-1.55432	0	0	1	1671264005.342793974	73.35	185.7	4	192.675	37.2755
26	0.119661	-1.54833	0	0	1	1671264020.142822689	72.8875	186.275	7	319.944	37.4106
27	1.08164	-1.53012	0	0	1	1671264033.042787299	97.4125	251.325	6	387.706	50.7534
28	1.11533	-2.49661	-1.5708	-0.707107	0.707107	1671264047.842877231	106.137	269.775	6	398.069	53.7098
29	0.135124	-2.51622	-3.14159	-1	6.12323e-17	1671264071.242888234	134.075	339.15	3	280.038	67.8715
30	-0.865623	-2.50886	-3.14159	-1	6.12323e-17	1671264084.642765725	55.55	140.1	5	172.775	28.313
31	-1.84617	-2.5372	-3.14159	-1	6.12323e-17	1671264097.442833548	45.475	114.95	4	118.738	23.1375
