x	y	z	w	concentration
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	26
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512391	0.858752	25
-1.52353	3.92776	-0.512466	0.858707	25
-1.52347	3.92764	-0.512841	0.858484	25
-1.52347	3.92764	-0.517553	0.855651	25
-1.52343	3.92757	-0.518449	0.855109	25
-1.52156	3.92398	-0.518672	0.854973	25
-1.51809	3.91732	-0.519269	0.854611	25
-1.5155	3.91232	-0.518001	0.85538	25
-1.51463	3.91066	-0.514862	0.857273	25
-1.51431	3.91006	-0.512916	0.858439	25
-1.51404	3.90957	-0.504576	0.863367	25
-1.51411	3.90968	-0.499973	0.866041	25
-1.51406	3.90961	-0.497477	0.867477	25
