concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
0	0	0	0	0	0
68	18	26	22	9	33
26	15	12	20	15	14
22	16	8	12	18	17
26	16	26	19	15	17
38	44	48	7	7	1
28	33	138	0	0	0
32	18	19	18	18	17
24	5	62	27	59	22
35	17	23	17	20	14
33	52	148	17	58	17
39	19	24	24	10	20
39	18	0	16	26	23
46	16	14	18	14	16
34	15	8	35	29	10
57	8	0	19	18	20
61	16	8	15	11	14
41	6	0	29	30	28
41	6	0	29	30	28
67	46	107	27	30	13
60	11	29	11	40	22
53	17	10	18	14	15
61	12	38	18	16	17
54	16	14	20	24	16
77	17	22	0	6	11
95	31	114	16	15	14
132	19	66	25	11	43
157	16	16	20	22	18
147	32	19	21	5	17
134	15	13	17	15	16
119	17	16	19	15	17
129	4	30	22	25	20
106	16	12	15	17	17
84	1	0	32	7	13
93	18	103	25	36	26
92	19	149	16	0	18
87	20	32	8	23	18
94	15	8	18	16	17
126	32	27	7	53	24
104	12	28	16	19	37
96	0	54	0	29	0
95	17	21	15	14	16
91	16	22	15	18	27
88	23	18	9	11	15
92	16	0	18	49	23
98	15	21	18	16	18
94	18	24	21	15	18
75	0	41	7	17	19
82	17	10	16	13	17
133	17	0	16	17	18
80	19	35	20	18	17
85	51	59	34	0	21
218	17	15	20	16	17
240	43	86	27	19	37
310	13	134	18	21	3
240	46	0	35	0	5
270	16	11	15	15	15
273	16	25	19	18	15
235	16	33	19	26	19
175	16	12	18	13	17
99	0	42	32	5	14
177	17	59	5	50	14
275	25	13	25	24	18
275	25	13	25	24	18
229	15	28	14	18	18
306	31	6	8	12	24
309	15	13	15	16	16
348	24	17	17	26	0
320	17	17	16	14	17
282	31	128	24	16	21
211	30	41	24	0	33
201	15	18	23	17	17
207	10	28	10	51	20
252	26	31	17	4	19
294	25	2	1	18	17
327	16	10	16	15	16
319	19	19	20	19	17
306	27	33	11	18	19
311	17	24	18	24	18
272	37	0	26	0	12
284	17	20	22	19	16
279	16	13	20	12	8
275	19	56	13	73	18
287	10	79	21	49	15
264	22	34	25	23	0
263	16	15	17	17	15
278	21	0	20	16	33
265	19	31	17	20	16
221	4	90	21	26	14
255	16	17	15	18	15
243	12	0	24	61	2
242	20	28	18	23	16
238	21	44	18	1	11
236	16	11	17	13	15
237	19	15	18	18	15
255	17	28	9	18	46
241	22	11	18	16	20
239	15	0	43	36	24
243	17	12	19	15	16
287	0	0	9	25	0
242	15	20	22	19	16
218	13	23	8	9	9
248	26	20	15	14	16
197	19	0	19	15	7
174	0	6	19	0	19
157	15	20	18	15	15
187	17	14	17	18	16
187	17	14	17	18	16
125	17	24	8	21	30
115	25	17	32	18	17
136	22	25	15	0	13
113	12	21	16	18	17
128	19	16	15	0	13
123	21	19	17	19	17
120	19	3	13	2	9
126	16	17	16	14	18
114	31	59	46	0	23
121	23	31	17	13	16
87	21	49	0	14	40
113	14	10	17	14	16
109	17	40	12	22	23
111	8	0	18	9	19
122	51	104	42	27	0
83	16	12	20	15	16
94	50	65	22	6	6
210	15	16	16	26	21
231	11	0	12	0	24
218	16	13	18	15	14
218	27	18	0	53	2
197	23	33	17	21	15
215	12	89	40	10	0
199	20	10	17	19	14
255	23	37	0	0	27
285	26	7	13	21	18
283	0	37	21	0	21
212	27	22	26	16	17
243	54	0	25	18	7
372	34	22	12	20	15
368	25	1	18	6	17
312	45	14	18	20	15
337	51	31	32	22	17
329	57	29	18	25	18
354	57	24	15	19	14
325	27	0	19	14	0
372	65	16	20	25	17
351	57	133	18	9	9
346	63	27	20	25	12
349	67	35	18	8	9
372	68	9	18	21	15
372	97	0	27	1	24
350	69	10	15	17	16
359	64	138	22	7	32
356	61	0	8	44	30
356	61	0	8	44	30
340	50	30	20	27	19
340	47	35	17	37	20
315	61	10	12	25	17
324	77	79	10	0	3
320	61	18	14	21	15
321	66	3	43	54	0
270	84	125	15	10	16
311	76	28	14	0	15
317	48	15	17	17	16
354	45	10	23	72	28
358	40	37	1	63	19
325	43	20	22	16	16
293	69	86	6	4	23
252	41	16	28	19	15
220	37	0	34	0	0
237	47	35	19	27	33
252	17	0	9	4	13
269	36	22	18	18	15
271	36	23	15	14	17
296	34	11	15	22	18
322	27	37	17	48	2
313	34	10	15	17	15
312	27	14	18	29	17
296	30	22	17	22	17
301	34	10	11	18	17
329	37	114	46	0	6
267	26	9	18	17	16
293	37	4	18	18	15
250	27	21	16	23	19
246	27	29	19	21	14
235	23	18	24	17	15
214	24	11	19	16	16
181	20	0	21	5	39
200	29	33	16	17	17
253	57	0	26	18	1
231	23	15	15	16	15
225	50	34	17	49	11
225	28	22	41	22	21
195	23	25	17	13	16
203	21	0	20	11	8
213	20	18	19	15	16
205	28	59	28	18	19
242	22	29	30	21	14
242	22	29	30	21	14
268	16	15	18	21	18
278	37	36	13	22	20
290	21	14	15	21	14
276	54	0	16	53	35
278	18	43	20	22	19
281	9	19	20	4	14
255	17	12	17	18	17
251	15	17	17	20	15
226	28	45	12	54	21
238	15	15	14	24	19
219	0	30	24	20	19
220	16	17	19	20	15
207	0	18	28	23	18
207	23	27	12	20	16
201	22	9	16	19	18
216	24	0	31	12	29
225	16	13	17	18	16
242	8	16	20	22	16
262	17	25	18	21	16
252	18	18	20	26	20
252	15	10	19	15	16
243	18	13	22	17	16
228	9	0	0	31	15
218	25	0	32	0	11
242	18	12	20	17	23
224	17	10	19	16	17
223	26	43	22	30	29
195	20	19	16	22	21
201	14	19	18	28	17
213	15	13	18	17	16
243	18	9	24	28	17
208	0	16	16	0	27
163	21	28	20	26	18
127	12	0	14	38	33
144	15	7	13	28	16
336	19	98	20	42	16
364	20	32	23	9	18
325	14	18	17	25	16
282	18	10	17	22	15
224	16	18	18	24	18
215	14	48	13	17	35
219	18	7	18	23	16
226	26	42	10	0	20
203	11	98	18	29	21
203	11	98	18	29	21
219	19	91	19	21	18
267	12	12	19	29	23
269	17	19	22	33	18
203	14	21	36	12	31
206	7	50	21	8	9
203	18	25	18	23	18
238	27	44	21	31	23
193	18	12	22	17	17
206	0	54	18	28	20
253	20	8	16	15	17
292	56	24	10	0	42
265	12	101	25	18	19
208	30	28	21	0	16
264	24	0	33	28	23
250	25	16	20	19	18
248	54	11	14	18	17
215	20	39	23	76	22
257	23	36	22	22	17
317	15	0	10	26	13
274	17	14	18	22	16
220	0	0	0	27	15
234	17	0	20	16	17
262	10	61	21	45	11
348	17	12	18	16	15
313	27	80	46	70	9
343	23	40	22	56	22
280	19	21	26	21	19
255	1	29	5	0	19
264	15	14	19	18	15
249	19	16	20	18	16
228	33	24	18	16	18
224	18	22	30	23	24
229	22	28	20	18	18
271	38	57	14	31	24
254	21	19	20	18	17
250	18	8	17	18	15
327	18	64	46	13	24
394	21	31	28	18	20
357	18	0	26	79	8
396	9	0	15	0	39
378	14	10	19	16	16
359	15	13	20	16	15
343	20	21	20	29	1
343	20	21	20	29	1
324	22	35	27	20	14
308	18	22	36	23	22
297	0	0	0	18	38
281	15	16	10	2	9
285	14	21	20	17	18
289	19	30	20	11	20
293	15	94	11	0	20
296	16	21	22	24	18
335	32	0	15	9	19
287	16	11	22	22	16
261	16	12	20	16	16
313	42	0	10	43	12
275	26	34	26	10	18
263	8	1	22	19	17
273	7	62	17	17	13
270	17	8	21	23	17
283	15	15	19	18	16
282	20	88	12	23	18
301	6	15	20	19	14
302	17	18	20	26	18
301	28	79	33	14	16
232	20	82	21	12	12
239	15	14	19	17	14
287	52	5	24	66	21
310	33	43	22	72	20
340	15	25	19	20	18
306	7	111	4	0	14
298	14	11	18	16	15
271	16	18	19	21	17
264	16	38	21	19	18
246	16	7	23	22	16
227	16	0	21	15	19
216	15	14	21	16	15
262	3	18	21	19	17
250	18	10	17	21	8
219	49	19	49	17	2
159	32	81	14	16	23
163	18	13	24	17	17
167	21	15	23	23	19
213	18	31	43	20	8
240	19	0	21	22	19
245	16	10	18	15	17
230	18	19	20	21	15
251	0	37	1	50	40
251	0	37	1	50	40
241	15	113	30	18	18
243	24	0	0	59	6
229	16	12	21	16	15
210	24	43	24	23	16
198	18	3	19	17	16
182	4	102	0	1	14
198	16	13	18	21	15
214	49	84	17	0	0
236	21	18	22	25	20
219	16	114	30	3	42
177	8	0	15	20	15
182	17	20	16	22	16
204	22	40	23	22	21
265	16	15	15	25	16
294	0	11	3	8	15
368	17	21	17	21	16
428	52	33	23	47	21
369	26	16	13	58	46
374	14	8	15	0	14
337	42	0	27	1	19
353	20	19	20	20	19
404	24	52	36	70	41
378	23	29	19	19	19
291	14	41	22	25	18
274	21	11	27	19	19
327	20	10	19	18	19
340	34	17	21	0	19
313	23	26	23	20	18
283	21	28	16	22	19
249	27	49	10	27	26
234	20	15	19	19	17
263	22	22	19	20	18
254	8	25	42	73	44
179	22	11	21	27	21
138	0	118	42	55	0
138	14	72	24	20	26
261	28	30	19	25	18
333	31	0	0	17	31
353	21	20	20	32	22
329	15	0	16	26	42
270	23	9	17	28	19
334	25	14	18	31	18
296	29	25	22	39	10
296	29	25	22	39	10
333	28	30	18	34	20
316	25	17	20	32	20
220	25	9	19	32	20
206	24	19	21	33	18
139	16	42	11	8	40
222	25	19	19	39	19
258	27	38	18	34	20
226	16	0	17	60	20
214	26	17	17	32	20
210	29	0	22	66	0
244	18	3	55	45	46
197	16	0	19	32	24
208	22	14	21	28	20
241	22	22	17	30	20
258	29	41	21	36	28
268	32	34	45	31	26
