concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
0	0	0	0	0	0
26	15	15	24	15	45
22	34	43	33	27	45
41	17	7	20	13	44
48	32	12	21	33	48
61	13	19	23	15	43
62	6	0	20	31	42
60	9	27	23	22	40
53	13	8	21	16	38
74	14	17	19	15	36
92	14	13	23	14	38
106	0	0	0	0	50
116	25	31	18	9	39
81	5	2	24	14	35
56	15	10	18	15	38
57	15	0	20	38	21
53	13	104	19	18	39
46	16	24	22	18	41
68	25	23	22	23	33
143	15	10	20	12	43
205	13	13	18	14	46
273	0	3	40	4	26
273	0	3	40	4	26
242	18	19	19	17	48
252	23	27	17	16	47
212	17	5	20	18	43
217	13	15	22	13	47
192	15	18	11	19	49
368	7	34	19	0	47
378	18	14	21	16	48
363	20	16	19	19	48
308	39	0	19	40	55
283	17	17	18	13	43
266	22	18	19	17	43
239	24	20	19	61	48
250	22	19	18	17	42
267	13	28	20	20	45
295	17	16	16	14	46
320	17	11	18	14	47
360	17	11	21	16	49
335	10	25	23	66	51
332	18	28	19	16	51
355	39	0	10	8	44
255	17	15	18	15	47
170	15	10	16	19	48
128	10	100	26	25	52
105	19	18	17	21	50
184	22	24	15	15	51
483	40	7	35	37	47
554	19	19	15	15	50
555	34	33	16	24	49
538	20	12	16	15	50
569	22	24	17	12	48
566	13	135	30	47	46
492	14	0	35	6	58
499	20	17	15	15	51
508	16	0	18	0	45
547	54	23	17	28	52
484	16	0	20	44	69
512	17	0	12	12	47
479	17	14	19	13	50
456	18	0	11	0	36
428	22	23	35	23	46
408	19	14	18	12	48
355	26	58	14	25	47
341	19	2	8	1	45
341	19	2	8	1	45
316	33	15	19	17	49
303	4	0	25	0	53
287	15	16	23	19	51
289	18	122	6	24	39
273	18	12	17	15	47
262	16	15	19	14	48
266	19	17	19	20	49
251	25	40	21	30	51
264	26	42	20	21	52
280	18	26	15	16	52
269	10	4	36	8	47
276	15	16	19	15	50
240	19	18	21	15	52
210	20	18	3	15	53
176	25	5	6	20	54
112	19	0	19	23	54
126	19	8	18	14	51
144	18	11	17	19	49
137	33	0	18	12	50
115	20	28	19	14	50
81	18	39	19	21	52
78	30	8	17	32	47
161	18	22	17	17	50
343	16	0	3	17	63
335	40	16	43	8	52
442	8	113	20	25	60
559	7	2	20	29	54
506	17	13	20	18	51
337	23	32	38	69	64
344	17	17	16	17	53
456	24	36	20	18	54
466	17	11	19	16	52
472	19	14	23	18	52
459	26	0	0	12	27
442	19	19	18	21	54
414	11	0	18	0	52
419	16	14	16	18	50
464	59	22	22	19	53
511	24	31	18	28	65
501	18	12	14	13	53
501	23	34	19	13	56
482	16	17	20	18	52
509	47	9	18	25	52
484	14	7	19	30	53
484	14	7	19	30	53
504	15	0	16	0	72
448	15	13	18	20	50
375	7	3	48	4	53
364	16	19	22	27	53
326	17	30	0	41	50
379	16	22	15	21	49
405	15	8	9	18	48
416	18	24	35	6	51
425	20	87	36	56	63
437	40	84	28	10	54
486	15	13	18	19	49
504	18	16	17	24	52
473	19	26	19	50	51
456	22	13	18	20	54
417	24	48	16	4	58
369	18	13	19	23	52
410	0	0	17	34	53
357	17	31	22	28	57
325	20	13	19	20	52
400	22	17	12	17	52
388	16	96	13	76	28
413	16	25	19	24	52
472	22	22	19	26	59
482	5	0	34	26	53
444	16	14	17	21	53
434	24	21	19	23	53
461	21	8	24	24	67
458	20	11	15	26	56
459	45	39	19	28	59
423	17	13	22	23	53
326	14	59	23	21	53
389	17	22	29	24	61
431	22	25	22	24	55
434	48	24	31	56	60
437	2	67	23	19	64
367	27	36	13	20	44
283	21	13	43	27	55
245	21	37	24	37	53
161	19	0	26	14	46
163	19	16	20	24	53
143	17	18	23	23	52
125	21	144	25	60	53
133	23	31	21	40	56
133	23	31	21	40	56
115	19	20	21	29	54
138	8	0	27	17	50
161	17	16	22	23	54
322	22	16	18	25	55
316	22	99	23	5	72
276	25	24	19	21	52
287	18	0	45	11	38
228	16	14	23	23	53
197	19	25	15	24	54
190	4	0	0	29	56
179	18	36	10	22	51
274	6	50	0	14	54
399	18	9	29	22	52
448	15	47	0	29	50
399	58	18	21	33	53
402	22	42	58	33	51
401	19	30	7	7	68
447	23	0	24	16	45
426	18	9	21	21	50
418	26	58	21	27	43
406	22	14	25	22	54
395	23	0	11	27	55
468	0	56	16	16	51
442	33	0	17	70	35
441	36	0	37	9	65
455	17	0	46	12	64
386	22	119	22	15	68
344	18	3	41	28	55
314	29	9	22	9	53
266	14	7	18	27	45
241	17	16	20	25	51
263	3	142	17	0	56
208	10	16	25	25	53
208	23	126	26	76	75
186	22	21	23	23	55
177	21	38	21	26	51
162	11	130	25	20	53
230	0	33	10	3	52
235	17	19	23	23	54
208	18	22	14	26	53
190	21	27	54	26	46
181	7	30	27	37	57
174	23	18	23	20	53
174	23	18	23	20	53
174	0	30	18	44	45
167	18	15	24	22	55
183	19	18	19	21	54
210	18	102	25	24	49
219	19	41	23	70	57
255	9	43	27	30	72
217	0	0	0	15	67
251	16	23	20	22	54
289	19	16	22	23	55
352	22	18	16	21	56
364	25	26	20	23	47
378	19	29	25	25	58
386	43	33	44	0	60
335	31	6	8	24	52
316	19	18	24	23	56
293	45	41	23	30	57
273	21	157	24	29	57
267	23	32	19	27	56
252	12	0	32	62	32
289	16	13	24	21	55
319	20	12	21	22	55
342	7	13	20	15	58
354	20	19	16	30	60
347	24	22	20	20	59
322	22	1	16	3	63
318	16	23	25	21	57
321	10	5	37	0	61
308	24	12	23	26	59
330	7	92	49	74	77
346	7	27	25	2	56
329	15	21	23	16	66
361	27	41	27	25	50
355	24	27	23	17	57
348	30	36	34	7	56
326	18	16	23	20	57
291	19	24	17	19	57
260	22	5	29	16	59
280	25	39	25	22	56
276	53	11	51	57	56
277	16	16	25	19	56
269	19	27	25	23	58
294	42	32	24	55	53
272	21	29	29	24	60
272	21	29	29	24	60
276	14	11	27	26	62
294	4	17	13	19	54
270	22	24	33	25	57
285	30	7	44	32	74
264	23	48	31	43	59
313	15	83	11	58	69
281	12	25	37	14	64
280	19	14	16	19	55
277	56	5	29	59	56
306	16	13	16	23	58
306	15	24	36	32	57
331	17	21	25	21	54
330	17	16	27	21	53
312	0	0	23	33	36
308	15	13	16	20	57
297	0	0	35	0	55
325	18	20	20	21	53
325	23	173	27	55	59
302	26	44	26	21	44
262	20	27	24	27	56
206	17	0	4	39	49
231	21	18	24	23	56
278	0	39	42	29	49
278	20	31	23	30	60
294	6	41	40	61	58
304	17	17	22	26	56
310	0	16	23	9	53
264	20	38	18	6	60
218	20	14	25	18	56
256	17	15	18	26	57
305	21	18	19	24	56
343	9	0	46	10	73
349	21	27	19	20	59
372	14	12	12	19	60
362	19	15	19	54	59
348	20	79	23	39	61
288	18	29	18	27	54
399	33	32	25	28	57
390	26	0	26	0	50
402	20	16	20	21	56
390	20	21	19	21	56
406	8	43	23	35	51
410	19	39	23	26	57
390	45	0	0	25	56
390	45	0	0	25	56
385	20	25	13	23	56
324	16	6	22	12	58
334	24	46	7	27	49
349	44	5	15	36	53
298	20	13	13	31	52
276	18	18	20	21	59
282	39	24	20	21	61
257	11	38	23	22	64
200	23	23	33	23	59
226	37	0	21	36	64
206	18	16	30	20	58
211	19	23	23	20	61
212	27	41	28	25	59
202	22	39	27	27	61
199	18	32	26	23	60
204	24	0	15	8	61
195	19	19	24	20	56
182	20	19	25	21	58
172	6	39	31	0	60
142	19	26	24	25	56
148	23	20	27	32	47
139	22	14	24	23	58
152	20	13	27	22	56
179	20	17	26	25	55
226	11	0	25	30	71
237	29	125	29	29	59
203	23	34	29	32	50
199	37	0	48	32	54
124	38	22	36	0	58
129	18	16	26	26	54
121	24	20	22	25	58
151	26	119	15	76	51
134	18	0	43	57	53
151	23	24	25	21	56
156	23	34	26	27	58
139	21	0	50	29	51
148	19	13	26	24	57
146	21	23	27	22	57
139	21	20	18	22	58
188	9	48	29	29	59
151	18	32	24	26	61
162	20	29	19	23	58
