concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
0	0	0	0	0	0
28	17	12	26	15	16
80	37	37	17	21	10
26	18	19	16	17	15
0	0	0	57	0	37
37	16	0	17	13	16
26	18	30	20	16	14
41	46	20	17	62	15
24	16	17	16	18	15
49	52	0	41	43	22
29	19	21	21	21	17
39	18	0	12	7	17
26	17	13	17	18	15
24	38	20	8	0	18
43	20	36	11	0	0
27	15	14	15	16	14
33	0	0	0	0	20
20	18	35	29	60	27
26	20	19	18	8	23
28	19	12	19	17	18
31	17	20	19	22	19
34	17	16	19	16	18
24	25	70	28	0	19
62	15	0	57	0	0
31	17	21	20	19	18
20	27	33	9	59	0
26	29	139	20	2	0
38	3	23	24	19	18
36	16	16	20	11	17
47	15	13	18	15	15
34	0	10	20	10	3
26	15	21	22	18	16
22	13	35	15	18	12
23	17	13	22	15	16
73	30	22	16	33	36
73	30	22	16	33	36
25	18	22	25	15	16
39	10	37	26	30	11
25	15	12	21	14	17
31	21	20	13	21	18
31	17	19	23	16	20
0	19	48	39	54	20
26	17	23	20	17	15
35	17	11	21	38	19
28	20	22	22	12	19
39	17	0	22	46	19
23	20	14	9	15	16
77	53	0	34	3	19
26	20	36	27	63	7
23	17	10	24	13	15
28	19	25	19	20	18
25	21	27	23	19	19
39	29	24	18	16	19
0	7	0	8	24	15
38	26	25	25	19	22
26	26	29	21	14	16
0	22	0	19	29	12
72	37	152	12	42	20
24	22	1	28	25	17
47	26	25	28	14	15
15	12	0	29	6	12
24	23	17	31	15	17
29	21	8	27	16	22
13	57	65	6	16	14
29	22	65	28	49	9
26	23	18	31	15	16
28	24	21	37	32	19
23	22	26	30	17	16
21	12	0	33	43	28
27	32	34	28	17	19
14	16	20	30	52	18
33	21	27	27	19	18
11	24	40	28	52	10
22	19	19	28	17	17
28	22	22	30	15	18
26	21	26	30	19	20
22	25	33	27	15	17
24	24	60	20	26	11
24	23	22	27	15	20
28	22	126	32	18	19
36	27	4	34	59	25
36	27	4	34	59	25
38	16	1	40	15	17
23	23	18	31	17	16
25	1	40	20	63	34
26	25	20	29	16	17
29	9	36	32	28	37
27	21	12	28	16	17
28	23	38	58	74	21
25	24	21	34	16	17
67	57	131	21	22	36
22	23	16	18	17	18
25	0	99	24	12	19
30	36	30	33	32	22
7	16	20	18	26	16
22	22	16	23	14	19
57	5	145	32	31	41
29	23	20	33	24	18
0	11	0	5	0	22
29	25	12	33	19	18
26	27	21	31	26	18
0	19	21	33	22	13
25	25	16	32	14	19
23	24	26	32	23	22
33	27	21	32	23	24
23	10	0	14	16	21
40	22	23	28	17	16
18	27	15	28	0	33
32	27	15	26	24	21
53	10	17	31	15	25
25	23	18	29	19	19
0	47	149	32	25	42
28	30	35	28	21	21
27	42	16	19	37	12
24	25	16	29	19	20
78	49	20	25	22	19
26	32	38	28	21	19
14	24	24	27	51	40
27	30	20	32	19	21
25	52	22	24	0	50
26	28	25	19	24	21
7	0	18	44	26	24
26	27	25	32	22	21
20	22	15	59	22	23
0	0	27	29	29	21
25	27	18	32	17	23
50	31	23	31	22	25
50	31	23	31	22	25
31	32	25	36	20	25
18	31	31	33	24	25
24	15	0	11	5	23
26	29	13	20	18	33
31	32	32	33	14	24
29	37	25	30	23	22
29	28	19	27	23	22
33	29	23	33	24	21
63	31	11	33	21	24
11	37	6	31	14	22
28	46	47	33	31	31
27	25	17	32	25	22
37	31	43	35	25	34
26	30	32	29	24	24
0	22	0	54	0	38
71	0	73	0	26	19
30	29	9	28	22	24
65	11	35	8	20	25
30	30	26	24	23	23
22	42	36	41	22	25
29	31	83	42	30	27
29	31	0	23	0	22
27	29	23	28	24	22
39	0	16	15	77	18
25	32	34	30	24	24
5	45	27	12	0	20
27	29	25	27	25	23
32	31	35	36	32	27
28	32	21	30	40	26
41	25	72	37	1	24
0	28	78	20	13	13
30	29	42	41	28	26
30	21	6	29	15	26
25	28	19	25	24	21
15	28	35	49	57	28
31	31	103	31	27	24
13	44	0	41	0	20
26	28	19	27	23	23
70	29	0	23	53	16
24	29	15	28	27	23
18	19	25	36	0	26
28	30	22	26	21	22
39	36	52	27	29	24
29	32	31	27	28	21
17	45	16	20	58	26
64	52	12	35	17	22
64	52	12	35	17	22
42	19	153	21	26	53
32	31	33	22	25	24
23	10	39	35	17	16
27	31	18	30	20	23
26	52	0	42	9	21
14	59	3	30	63	43
26	31	26	29	20	24
29	32	20	39	24	26
29	31	24	35	28	26
22	33	13	43	35	26
54	14	90	31	11	18
0	0	149	7	0	25
28	31	27	36	31	23
11	47	0	14	31	38
24	61	0	44	45	24
39	39	100	38	33	30
38	37	32	30	23	27
32	32	17	36	24	23
27	34	23	35	23	24
32	35	35	36	28	22
64	38	33	27	27	24
11	7	7	23	17	18
30	32	28	27	25	23
26	34	31	32	26	24
0	26	17	39	32	25
25	30	18	43	29	25
32	33	117	48	25	26
17	35	49	36	31	26
33	29	24	36	28	28
27	32	14	34	22	24
31	30	22	39	22	25
26	23	13	37	28	28
35	19	8	29	16	25
32	33	25	43	20	17
28	34	20	35	28	25
30	34	0	39	34	29
65	25	133	47	28	41
10	22	1	34	26	19
66	21	70	23	33	26
70	34	33	41	24	26
35	36	25	39	27	26
27	30	25	38	22	24
28	34	22	38	25	26
41	18	33	39	0	47
63	18	0	32	8	49
63	18	0	32	8	49
31	32	25	34	23	26
24	54	2	39	0	23
0	26	16	44	27	26
28	45	1	24	4	26
46	37	35	39	5	27
31	31	29	43	28	26
44	27	103	38	51	27
10	23	0	56	35	25
30	54	0	60	19	26
30	36	27	30	28	25
0	0	141	32	10	23
30	32	18	36	26	24
13	54	0	29	21	29
53	27	33	36	28	29
15	26	70	42	18	20
24	30	22	37	24	23
0	31	95	44	35	1
0	33	67	39	28	28
30	32	48	31	52	20
28	33	29	40	22	26
33	42	12	43	34	28
26	31	21	38	27	28
37	51	43	35	32	35
14	29	146	37	11	27
25	31	7	38	29	43
30	33	37	42	24	26
27	31	21	41	28	32
28	30	25	29	24	26
31	28	33	38	22	25
33	24	42	42	26	27
38	17	0	32	31	25
43	28	21	39	25	26
35	28	19	42	29	29
35	33	36	41	26	28
10	32	0	34	16	33
64	39	55	16	57	14
32	37	45	45	32	46
29	35	38	42	27	32
30	31	19	43	26	29
29	36	20	45	29	27
30	37	40	43	30	27
37	33	0	43	27	27
31	25	14	49	14	29
31	34	29	44	24	26
19	42	0	43	31	41
19	42	0	43	31	41
0	66	15	43	29	30
31	34	29	44	29	30
28	38	93	27	22	22
30	35	54	49	30	47
40	31	0	46	28	28
29	34	22	35	28	26
25	11	44	58	30	40
41	39	41	46	44	32
40	27	21	53	9	18
29	32	25	41	25	28
57	34	49	46	0	31
32	36	38	42	28	28
30	52	34	36	21	30
28	35	21	33	25	28
33	66	32	30	32	24
35	33	30	46	27	31
0	54	55	51	37	31
30	34	22	44	27	28
21	0	140	60	0	32
35	37	34	39	31	31
12	23	0	39	50	40
29	38	23	38	25	28
49	13	0	65	30	52
37	33	9	34	32	33
23	53	17	28	46	33
38	37	25	40	26	28
34	65	47	46	44	30
32	35	22	51	28	28
42	27	29	48	32	44
30	36	32	40	28	29
29	36	131	50	54	39
41	42	48	45	30	25
11	29	143	68	78	52
57	44	19	45	9	39
34	35	32	43	29	24
41	35	61	46	35	24
34	43	34	43	29	24
48	47	13	45	43	25
32	37	23	46	29	28
33	46	0	45	17	52
38	38	33	41	36	31
55	35	78	34	50	34
38	37	29	41	31	30
32	38	31	43	34	32
40	41	35	42	36	31
40	41	35	42	36	31
23	38	34	43	35	31
20	31	40	52	23	29
33	41	31	44	31	29
33	41	28	46	35	26
42	41	32	43	34	32
41	24	61	39	26	41
31	37	24	50	28	31
33	39	23	42	29	32
38	64	27	42	40	34
36	39	29	40	36	30
10	40	134	43	44	40
32	39	26	45	29	31
3	0	97	42	32	33
50	38	39	38	35	37
48	56	73	33	6	20
34	38	21	40	31	32
31	37	25	43	32	32
40	44	38	46	29	33
48	48	56	44	41	33
33	56	0	36	26	38
49	38	114	64	0	49
32	45	55	44	43	37
34	40	36	50	24	34
29	42	18	27	28	34
32	43	25	37	30	32
32	34	15	41	72	61
33	41	32	44	34	34
53	50	18	36	50	44
32	39	23	37	29	33
54	41	166	72	36	28
33	41	39	38	33	37
39	8	0	41	43	35
38	38	35	39	32	34
32	58	12	33	25	32
37	40	41	45	38	33
49	36	13	31	16	31
34	40	26	40	31	33
1	34	19	40	94	46
18	79	7	43	22	36
34	41	30	40	5	28
40	41	30	45	34	35
37	43	30	48	37	35
48	27	33	69	24	33
64	23	0	51	0	34
38	45	169	43	43	42
38	45	169	43	43	42
