concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
0	0	0	0	0	0
4	30	34	18	22	28
8	6	3	5	2	39
81	43	167	7	27	32
19	17	23	20	15	29
0	14	112	21	18	27
12	0	17	17	11	19
13	40	23	18	17	26
13	40	23	18	17	26
19	11	22	40	20	25
16	21	31	19	22	16
55	0	71	3	19	30
18	18	11	15	15	31
19	18	10	15	15	29
63	50	36	40	15	26
32	23	21	13	19	30
19	18	27	16	14	31
8	6	27	8	0	21
0	3	0	18	18	26
19	21	23	15	15	39
27	32	99	22	20	44
30	28	0	8	1	31
0	16	21	17	17	31
23	22	24	17	22	36
19	17	26	18	18	37
67	0	70	12	21	35
17	17	13	13	16	34
25	21	13	15	20	29
19	42	43	17	29	28
18	22	14	16	17	28
0	0	0	5	28	25
18	16	9	15	15	26
25	13	83	21	26	32
19	18	18	17	16	33
24	18	17	18	16	28
20	19	89	11	47	22
16	17	17	19	15	27
24	19	20	21	17	29
23	24	41	11	21	29
18	16	27	23	19	26
0	13	25	31	15	25
18	15	12	16	12	28
19	17	23	14	18	25
23	14	92	21	21	20
22	21	21	20	16	27
53	3	8	18	15	30
20	2	0	18	1	36
33	58	40	24	24	31
24	24	31	18	20	31
23	15	26	23	16	35
49	40	0	12	11	35
27	15	16	20	15	27
2	18	75	19	21	29
19	19	18	21	22	32
19	19	18	21	22	32
49	22	19	18	23	29
6	26	26	0	62	14
65	18	41	15	15	30
13	17	0	15	60	28
22	18	40	22	24	31
49	32	22	33	14	29
19	20	0	24	4	27
17	20	21	21	17	29
27	42	3	20	20	37
19	18	20	23	15	28
16	18	34	20	36	24
16	20	17	18	15	33
15	21	120	16	58	32
23	11	14	23	54	25
18	20	21	18	22	30
8	26	0	24	52	47
16	18	16	16	18	27
23	22	109	24	24	38
24	22	0	22	18	29
21	21	19	14	19	33
10	12	47	10	15	42
17	20	14	24	13	31
32	19	31	22	25	39
20	24	27	23	19	43
16	25	24	23	22	39
37	22	37	19	35	29
20	24	20	22	18	29
24	30	120	14	0	24
46	56	31	26	21	33
31	23	0	0	81	46
29	22	18	25	16	28
8	0	34	49	0	30
29	55	71	25	0	50
16	24	13	22	16	33
21	23	18	21	16	31
23	23	33	22	17	36
50	21	4	23	17	31
0	39	6	12	0	32
32	13	30	35	27	36
25	27	20	21	17	34
33	18	0	17	9	17
1	0	0	20	56	33
21	24	30	23	19	39
11	33	0	17	6	52
0	0	0	0	0	46
16	10	106	27	46	43
21	21	0	33	53	46
21	21	0	33	53	46
61	15	111	26	11	44
8	31	36	25	48	51
22	23	19	24	26	47
19	24	13	22	22	46
20	25	22	26	22	41
84	29	21	19	19	41
36	15	114	21	64	39
22	18	0	33	43	46
21	23	26	25	23	42
20	24	28	27	30	44
19	25	19	29	21	43
39	16	55	23	29	49
24	23	26	24	19	47
21	24	24	13	21	39
21	24	27	23	27	41
0	27	0	19	51	50
24	24	21	25	19	43
15	29	2	32	0	39
18	27	0	0	50	33
19	20	22	22	22	42
20	23	26	23	22	48
24	26	24	25	23	52
19	22	33	26	25	46
55	43	0	29	9	50
14	54	0	48	66	49
19	28	41	17	10	39
21	23	24	30	25	43
48	17	60	29	23	38
18	23	19	30	22	42
20	25	17	25	21	41
71	14	125	32	25	46
33	30	0	44	0	49
4	30	46	36	23	47
16	23	22	15	20	47
24	24	18	28	21	44
0	29	97	10	71	44
28	27	32	25	21	44
6	56	89	28	30	50
8	23	0	30	17	37
17	25	40	13	23	44
15	24	38	27	29	43
26	24	27	27	26	45
27	27	45	21	20	52
0	27	0	14	0	45
7	50	0	27	22	42
7	50	0	27	22	42
36	23	22	28	23	40
53	71	0	59	33	38
55	3	26	15	21	32
0	1	3	27	17	47
25	24	27	27	27	43
21	24	36	24	23	40
20	28	25	26	27	42
20	24	16	25	20	38
20	25	19	24	20	42
29	33	0	56	21	33
24	26	20	27	24	45
66	13	49	31	63	41
21	25	24	19	22	40
24	28	34	25	22	40
29	17	45	30	57	39
23	23	36	28	21	42
15	13	110	22	63	47
24	40	35	31	42	58
21	24	25	27	21	36
10	62	0	33	0	28
29	25	39	27	21	30
13	15	0	27	0	39
60	24	21	26	19	39
25	23	19	27	23	39
34	15	27	24	28	40
22	25	32	30	24	41
30	24	33	35	21	42
20	24	19	22	19	41
25	24	24	32	22	45
40	28	108	31	30	58
35	24	32	36	29	43
26	28	24	28	21	42
31	23	44	0	22	48
26	22	23	29	19	50
25	0	0	51	0	50
28	28	30	30	30	44
45	26	3	27	27	29
20	24	19	31	20	44
31	24	17	31	22	44
24	41	23	35	26	40
23	24	27	36	20	49
34	27	32	32	23	49
21	27	16	31	21	46
33	24	23	30	20	45
53	24	0	5	32	47
53	24	0	5	32	47
29	26	27	35	26	50
36	27	2	24	12	52
19	23	21	25	23	49
29	22	2	36	48	32
25	28	29	29	10	47
29	26	21	27	23	51
21	25	27	26	21	43
21	26	27	28	22	41
31	45	0	57	57	30
26	20	38	21	28	41
21	27	32	32	11	38
21	25	27	27	23	41
40	23	135	16	23	40
10	56	7	28	15	39
23	56	103	65	10	42
22	26	19	33	23	43
42	25	26	28	22	50
82	29	122	54	33	45
10	22	87	50	15	29
34	16	0	40	21	37
28	28	28	27	23	41
31	30	22	26	26	38
27	33	24	26	24	30
15	13	0	35	27	38
25	35	0	25	25	38
24	30	35	27	25	40
23	12	15	20	8	42
24	30	25	32	26	43
27	30	17	32	21	47
25	29	36	28	27	49
93	22	0	22	28	64
25	27	25	27	24	51
20	28	4	25	31	62
0	0	146	8	0	65
23	28	24	30	23	41
3	29	32	27	6	62
4	22	35	59	26	55
22	27	19	38	32	45
24	28	20	33	27	41
33	29	47	35	34	44
68	37	22	32	27	41
45	11	11	32	17	56
30	37	59	61	22	38
37	72	37	26	17	38
25	28	25	31	26	45
25	28	25	31	26	45
24	24	19	29	25	51
25	27	31	31	26	51
24	28	25	31	32	50
22	30	32	33	31	50
22	28	44	32	12	52
23	28	28	31	25	45
36	37	29	33	29	47
26	29	31	30	24	54
45	37	0	32	41	44
9	58	100	36	0	41
23	34	41	30	13	44
25	31	26	32	29	50
25	28	20	30	27	44
29	24	33	29	29	46
58	33	4	30	19	51
16	34	0	66	0	69
24	29	22	26	23	52
7	57	20	35	16	54
23	27	40	33	24	48
66	40	4	33	22	36
28	27	23	30	25	43
33	13	101	32	33	44
25	28	28	32	28	45
29	21	22	29	30	37
22	27	29	27	27	42
20	59	83	40	14	21
56	29	3	36	32	42
51	29	27	34	24	42
21	27	21	34	26	48
47	47	31	35	23	52
26	28	26	31	27	52
0	2	59	27	18	46
38	26	22	28	24	48
32	38	50	30	54	44
24	30	40	36	31	46
51	29	42	26	49	48
25	28	22	37	25	41
29	34	33	38	38	49
30	33	24	32	39	54
32	56	20	32	11	50
23	32	38	36	0	47
23	30	30	32	30	49
29	28	31	32	32	49
24	19	42	31	28	48
50	24	33	26	40	51
50	24	33	26	40	51
36	28	24	31	28	49
27	51	25	48	30	42
25	32	31	27	29	52
0	30	2	25	10	52
23	28	26	32	25	54
61	50	0	31	40	38
57	24	29	33	31	51
51	31	34	36	8	53
24	27	25	32	27	49
14	33	32	35	30	48
32	29	31	36	29	51
0	26	32	33	31	51
24	27	27	34	25	49
10	32	23	36	25	49
21	34	39	30	10	51
56	33	42	14	30	48
32	34	22	25	44	47
23	28	25	33	25	46
26	33	23	31	30	61
37	22	46	33	5	57
34	15	0	29	28	51
25	28	28	32	25	55
37	41	121	27	34	68
24	37	24	36	25	50
0	32	126	11	51	58
51	16	0	21	21	44
28	30	23	31	32	52
36	38	123	31	20	57
28	31	28	31	28	56
55	51	14	38	33	55
28	29	35	32	28	57
32	29	36	34	28	56
36	33	31	30	28	56
21	42	23	29	7	45
29	28	34	25	29	51
31	32	30	30	31	55
54	0	0	35	25	63
25	31	21	31	24	54
34	33	24	23	29	52
34	30	28	30	29	52
26	15	27	35	24	51
28	16	10	23	12	58
26	0	0	29	21	64
31	34	33	33	27	60
50	38	0	53	27	62
50	38	0	53	27	62
30	29	35	31	28	56
39	20	8	31	29	55
33	35	31	30	27	54
29	27	28	36	26	48
28	31	27	31	26	50
31	32	29	31	31	60
23	33	35	34	40	56
15	40	100	26	26	50
29	30	26	33	27	49
43	15	54	36	63	49
32	29	32	35	34	56
26	29	75	33	75	50
41	33	26	33	28	56
34	50	20	34	24	60
34	32	44	32	29	80
17	41	0	25	19	50
29	27	27	36	26	52
82	15	0	36	28	54
28	37	32	32	30	43
21	14	0	24	23	45
36	29	24	34	28	49
38	21	47	23	32	54
27	35	29	34	30	51
49	44	12	32	56	55
0	42	0	42	0	54
38	29	29	38	30	62
59	20	79	42	2	47
35	28	31	39	28	54
39	29	48	36	23	55
31	30	27	38	31	54
22	19	91	36	42	49
30	28	20	36	29	54
27	31	109	38	17	64
38	29	47	35	28	53
30	47	39	60	70	52
31	28	25	37	29	53
30	19	29	35	33	70
36	34	29	37	33	58
0	43	32	32	34	41
28	30	22	34	28	52
77	56	0	32	37	65
35	32	27	35	32	58
25	35	0	18	18	54
32	29	29	35	27	54
0	33	23	41	55	47
0	33	23	41	55	47
26	33	19	39	37	53
13	31	27	28	24	61
27	28	28	33	30	52
43	49	19	39	32	49
28	33	34	39	34	53
28	32	30	35	27	50
27	28	26	37	26	53
33	33	28	38	32	56
35	32	9	33	35	52
0	35	0	35	16	46
29	32	22	34	29	58
26	32	25	32	31	58
30	57	48	40	38	61
32	33	29	34	36	56
32	20	0	56	43	63
29	27	28	40	32	57
39	15	66	34	13	60
37	29	43	40	28	55
0	65	44	39	15	50
31	35	47	32	22	50
32	29	22	35	28	48
29	31	40	33	81	38
31	35	40	35	33	51
31	28	7	39	32	53
27	31	23	30	27	50
39	30	18	31	30	53
40	62	34	39	32	61
31	31	31	39	29	61
22	22	59	18	12	76
26	30	24	40	33	57
0	0	68	22	28	55
34	30	33	40	29	55
42	33	25	44	29	52
27	29	22	39	28	49
33	30	30	38	30	52
76	34	0	37	0	78
41	43	100	39	29	54
11	35	0	47	25	47
31	32	18	41	32	54
42	39	47	32	76	62
46	37	33	43	21	64
35	35	28	40	27	64
33	33	17	29	30	60
28	29	25	35	30	59
25	24	0	42	33	66
25	24	0	42	33	66
32	31	31	37	30	61
18	47	113	64	27	54
53	27	79	37	48	58
13	26	25	42	40	57
28	72	35	58	20	76
35	35	41	44	38	57
17	47	45	41	42	56
36	31	21	32	31	55
31	30	34	36	31	52
46	72	47	41	39	48
39	33	29	37	30	56
56	23	129	32	13	48
45	30	23	32	29	51
70	32	30	32	31	53
53	26	7	55	27	55
32	35	23	39	36	47
23	22	0	38	21	63
28	29	22	39	29	62
19	40	23	40	43	64
31	32	43	39	31	58
36	15	35	37	27	55
27	29	28	39	29	56
70	36	40	42	52	58
22	34	36	39	30	58
0	60	10	46	29	61
34	16	70	54	31	55
32	28	25	43	29	53
36	25	52	43	36	61
40	29	41	45	29	61
14	38	29	38	0	53
31	32	34	39	32	56
32	38	57	42	41	72
39	41	0	39	38	57
17	54	12	33	68	54
31	30	29	39	30	55
29	37	29	35	37	58
35	32	30	34	31	58
52	38	0	31	36	58
6	51	97	31	3	55
31	32	38	38	29	56
40	31	47	32	58	61
37	28	39	41	32	56
32	31	27	27	30	54
29	34	28	41	28	61
41	29	4	47	41	67
41	29	4	47	41	67
84	16	145	37	35	62
53	36	72	40	55	61
29	31	22	38	29	56
53	30	14	50	26	56
68	32	65	46	31	56
35	39	45	39	30	54
43	31	28	40	30	54
31	33	35	45	30	55
28	31	31	48	77	51
34	32	31	40	31	56
60	38	0	34	34	29
31	32	32	43	31	55
39	45	89	43	26	58
36	36	60	45	38	62
34	32	45	41	30	62
29	28	20	38	32	57
35	29	34	40	32	60
64	56	32	31	0	57
37	33	34	41	34	66
48	17	43	13	42	65
34	32	25	35	27	59
86	7	33	69	15	55
42	35	1	59	25	60
32	34	31	42	35	56
34	39	30	44	27	63
35	32	23	39	32	56
40	33	46	42	29	55
38	36	42	41	37	83
41	37	28	40	33	61
5	48	0	39	33	65
36	34	38	41	34	59
50	35	46	31	0	46
47	42	55	47	43	66
7	71	88	19	12	56
61	46	19	47	65	60
35	33	20	41	31	64
110	33	34	45	45	68
46	38	0	45	35	58
39	29	33	41	32	57
14	17	102	60	37	57
33	34	27	43	32	58
31	31	32	42	30	58
50	38	97	46	90	62
40	33	42	40	35	66
35	34	36	38	34	61
35	34	36	38	34	61
31	39	32	39	41	59
86	30	29	41	29	60
34	35	48	43	32	58
37	30	30	35	37	65
34	33	40	49	33	64
42	44	0	41	43	67
32	36	25	42	34	62
0	0	22	63	36	62
50	43	51	60	73	66
24	37	0	48	40	66
30	33	30	49	34	68
33	33	33	41	35	58
39	38	41	44	55	61
35	38	37	49	39	59
96	0	85	40	31	54
77	34	34	43	34	55
61	44	0	43	42	33
37	55	38	73	75	54
50	43	29	11	41	57
33	32	25	43	35	52
37	33	31	45	33	54
36	38	58	45	35	59
33	34	35	38	36	57
43	37	33	45	64	59
63	43	28	44	22	67
33	27	79	43	44	65
42	29	31	44	36	62
32	30	27	47	34	56
35	32	26	46	32	56
36	32	36	43	26	74
36	28	45	42	24	59
56	30	104	44	46	54
34	29	33	43	34	57
45	35	63	43	38	67
36	34	45	46	35	56
75	66	16	34	0	76
37	31	39	42	35	54
82	34	28	42	67	54
42	34	48	46	41	56
59	29	4	31	29	57
33	31	38	40	34	59
36	16	16	41	45	62
0	35	36	43	36	60
54	26	0	50	19	47
54	26	0	50	19	47
36	35	31	43	35	59
36	36	46	44	40	56
34	34	45	41	39	56
66	27	5	37	34	53
95	0	164	63	35	53
87	38	57	48	38	74
37	37	37	42	35	56
40	32	3	41	27	48
39	37	38	42	37	59
44	12	87	22	32	75
39	34	32	44	42	57
28	0	14	63	15	55
31	35	34	43	34	60
