concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
0	0	0	0	0	0
31	17	20	19	16	28
47	18	11	17	16	15
42	15	9	8	11	13
37	22	2	0	3	35
43	18	28	18	15	16
65	15	7	12	13	11
57	18	25	17	17	14
44	14	28	17	9	6
44	14	28	17	9	6
110	22	15	15	61	10
50	28	33	5	2	10
59	15	22	17	16	16
71	1	23	21	15	19
57	13	20	19	22	18
33	2	22	19	24	17
32	18	13	21	20	15
42	11	15	27	9	14
86	16	16	14	23	16
55	32	56	9	14	19
44	16	12	17	18	14
43	15	28	17	22	14
53	16	22	18	24	17
29	4	18	18	18	16
64	0	40	15	6	26
12	37	0	0	0	38
30	16	28	21	25	17
20	21	0	13	19	15
37	14	14	21	15	15
26	17	20	14	21	14
32	17	23	18	14	15
35	20	24	15	20	19
0	21	41	33	15	4
54	15	10	25	14	15
94	26	4	14	14	0
29	15	15	18	19	17
35	15	55	21	23	15
32	14	8	19	18	15
30	15	16	17	17	13
75	12	44	26	37	46
34	17	24	19	14	15
52	18	11	25	17	15
21	17	119	8	55	8
34	16	20	18	25	13
44	17	45	23	9	23
47	17	128	21	74	18
43	29	39	21	24	17
42	26	21	21	42	21
24	15	26	27	41	11
73	12	0	27	27	15
42	25	22	20	27	17
30	14	18	25	25	17
0	14	62	22	5	5
42	17	18	28	16	16
85	5	158	27	69	13
85	5	158	27	69	13
51	15	22	32	17	14
19	39	65	12	18	17
19	7	28	12	34	25
0	47	34	22	25	16
40	17	85	4	26	16
47	17	22	20	26	16
35	6	21	7	28	6
56	15	24	19	17	15
48	17	23	6	0	39
59	14	30	25	25	30
81	15	0	14	29	8
28	15	14	17	15	14
33	24	13	25	16	18
27	18	34	31	16	17
52	16	19	20	22	20
24	16	11	19	16	15
109	15	12	19	13	17
54	14	19	15	18	16
37	19	32	21	31	19
35	19	29	11	23	18
44	28	82	20	3	21
28	15	25	20	18	19
32	21	33	50	0	8
50	17	19	27	21	20
44	9	74	28	34	18
56	15	15	22	19	16
42	16	30	21	17	16
62	17	27	21	21	15
42	17	9	22	17	17
38	8	0	20	9	11
45	17	18	22	23	8
38	18	24	20	21	19
90	8	31	23	9	16
42	15	26	23	16	19
59	21	0	22	20	37
86	17	23	16	18	18
64	7	0	19	16	18
30	15	21	24	17	18
26	23	48	22	0	0
48	0	0	17	65	19
25	14	17	23	16	19
39	15	21	24	19	19
33	15	28	24	23	20
29	18	26	28	17	20
53	9	0	20	10	10
71	32	67	19	11	19
71	32	67	19	11	19
31	4	41	29	22	22
29	20	15	28	26	19
58	15	9	21	15	18
81	29	0	9	51	35
31	17	20	28	17	19
57	20	0	20	3	6
34	41	0	31	20	20
41	19	41	33	5	21
42	28	0	21	7	25
34	15	12	28	18	19
34	14	31	29	29	18
56	16	14	28	26	23
20	36	0	29	12	22
42	18	20	16	18	19
98	26	133	25	27	26
78	14	20	29	20	21
12	14	115	26	7	7
46	17	25	26	22	17
63	18	28	31	23	16
54	17	18	32	21	20
59	29	47	31	37	18
70	16	19	31	14	18
0	17	77	26	10	43
85	16	55	29	15	20
41	14	45	17	5	13
37	17	14	24	16	20
32	41	11	28	31	18
34	22	28	32	23	20
57	8	8	57	0	23
70	45	21	30	8	28
92	17	26	29	25	24
71	21	24	29	17	21
111	43	0	45	51	17
67	17	21	25	17	20
0	0	10	7	13	0
55	3	79	35	17	37
30	16	14	28	22	21
52	16	17	31	17	19
109	3	44	28	27	17
86	19	23	26	27	20
114	8	157	0	28	23
29	15	11	29	13	20
52	18	18	31	19	21
59	15	29	28	26	29
30	21	29	32	25	24
20	10	0	27	49	24
20	10	0	27	49	24
25	17	15	29	17	20
41	17	71	52	5	33
39	24	160	32	18	21
37	20	31	31	22	20
34	6	86	24	3	23
35	17	18	29	15	23
64	52	62	32	13	30
75	18	22	29	20	24
87	24	63	27	9	28
17	3	0	34	51	21
53	20	15	24	17	24
52	23	25	19	76	39
39	21	32	24	15	22
56	8	0	42	23	22
31	18	21	33	16	20
27	17	115	52	6	29
79	23	26	28	24	21
0	58	0	20	43	33
71	18	16	26	16	21
65	20	0	22	9	24
28	23	27	15	19	22
28	19	22	29	21	23
45	18	21	28	16	23
27	20	20	31	20	22
57	20	116	45	67	31
32	23	33	31	23	22
35	43	0	40	7	19
30	18	12	27	17	21
32	39	27	29	0	0
26	20	23	30	18	23
26	6	0	42	25	21
47	20	19	30	16	21
55	0	95	25	10	18
56	22	23	34	30	29
45	24	0	38	12	27
55	21	13	21	18	22
63	20	31	28	25	22
36	21	24	30	27	24
42	22	35	37	25	26
31	18	38	31	45	8
50	21	17	26	18	22
74	23	93	31	21	43
36	16	20	59	28	26
39	14	33	24	38	6
55	18	22	29	21	22
55	18	22	29	21	22
51	21	27	24	22	24
27	20	44	28	27	26
45	19	22	31	17	25
40	26	11	27	2	24
56	22	18	39	19	24
25	27	15	53	36	0
84	25	141	36	19	20
65	19	26	37	18	19
18	9	24	28	3	37
50	20	14	32	25	21
108	21	31	53	26	23
64	29	26	31	29	28
88	25	19	33	21	24
40	25	0	43	0	21
73	22	17	31	14	22
55	20	143	33	15	22
47	28	49	35	20	25
68	25	20	35	18	24
69	15	30	25	18	23
69	21	18	28	19	21
37	20	25	28	22	22
121	28	0	21	55	35
52	22	25	28	22	23
47	24	27	31	19	21
55	13	3	17	53	17
105	20	15	36	20	21
36	23	25	33	21	24
70	5	38	51	24	34
57	22	16	35	29	22
35	10	66	42	19	36
42	16	71	31	28	24
38	20	99	20	23	22
56	18	10	30	21	14
44	8	34	38	30	38
74	18	75	44	12	29
68	22	22	27	20	18
70	19	24	32	21	21
57	28	34	32	25	27
77	23	29	36	22	23
114	21	24	34	24	26
23	11	0	38	14	15
42	22	17	34	21	22
113	0	0	18	0	24
50	22	21	38	27	24
