time	PM_0	PM_1	PM_2	PM_3	PM_4	PM_5
1669432890.350088988	0	0	0	0	0	0
1669432891.350720825	39	45	43	40	40	32
1669432892.350486226	39	45	43	40	40	32
1669432893.350637143	39	45	43	40	40	32
1669432894.350642335	39	45	43	40	40	32
1669432895.350627317	39	45	43	40	40	32
1669432896.350601128	39	47	43	38	40	32
1669432897.350630369	39	248	43	38	40	32
1669432898.350607503	39	348	43	38	40	32
1669432899.350605470	39	421	43	38	40	32
1669432900.350613812	39	505	43	38	40	32
1669432901.350612752	39	565	43	38	40	32
1669432902.350617193	39	604	43	38	40	32
1669432903.350141351	39	607	43	38	40	32
1669432904.350601391	39	622	43	38	40	32
1669432905.350606541	39	622	43	38	40	32
1669432906.350608065	39	613	43	38	40	32
1669432907.350608939	39	559	43	38	40	32
1669432908.350476836	39	518	43	38	40	32
1669432909.350190892	39	483	43	38	40	32
1669432910.350435697	39	442	43	38	40	32
1669432911.350333747	39	412	43	38	40	32
1669432912.350331010	39	395	43	38	40	32
1669432913.350449399	39	367	43	40	40	32
1669432914.350187702	39	132	43	40	40	32
1669432915.350469995	39	136	43	40	40	32
1669432916.350383319	39	376	43	42	40	32
1669432917.350319402	39	427	43	42	40	32
1669432918.350383637	39	488	43	44	40	32
1669432919.350177977	39	524	43	44	40	32
1669432920.350172240	40	604	43	46	40	34
1669432921.350195126	40	693	43	48	40	34
1669432922.350482172	40	760	43	50	40	34
1669432923.350307860	40	820	43	52	40	34
1669432924.350321544	40	820	43	54	40	34
1669432925.350354667	41	818	43	56	40	34
1669432926.350196788	41	794	43	56	40	34
1669432927.350342006	41	779	43	58	40	34
1669432928.350383003	41	779	43	60	40	34
1669432929.350394669	41	790	43	62	40	34
1669432930.350531264	41	790	43	65	40	36
1669432931.350207132	42	757	43	65	40	36
1669432932.350524191	42	686	43	67	40	36
1669432933.350383732	42	619	43	69	40	36
1669432934.350406408	42	518	43	71	40	36
1669432935.350209011	42	274	43	73	40	36
1669432936.350446279	42	276	43	75	38	36
1669432937.350400081	42	278	43	75	38	38
1669432938.350303776	43	279	43	77	38	38
1669432939.350185235	43	279	43	79	38	38
1669432940.350553922	43	281	43	81	38	38
1669432941.350399318	43	281	43	83	38	38
1669432942.350407627	43	283	43	85	38	38
1669432943.350465530	43	287	43	87	38	38
1669432944.350412866	43	291	43	89	38	38
1669432945.350322743	43	294	43	91	38	38
1669432946.350424336	43	300	43	93	38	40
1669432947.350213484	45	512	43	95	38	40
1669432948.350394568	45	533	43	97	38	40
1669432949.350198967	45	559	43	99	38	40
1669432950.350371627	45	589	43	101	38	40
1669432951.350455889	45	589	43	103	38	40
1669432952.350491495	45	589	43	105	38	40
1669432953.350552327	45	583	43	107	38	40
1669432954.350817551	45	347	43	109	38	40
1669432955.350651334	45	348	43	109	38	40
1669432956.350198033	45	352	43	111	38	40
1669432957.350427782	45	354	43	113	38	42
1669432958.350489743	45	356	43	115	38	42
1669432959.350544979	46	358	43	115	38	42
1669432960.350587178	46	360	45	117	38	42
1669432961.350401772	46	360	45	120	38	42
1669432962.350440487	46	360	45	122	40	42
1669432963.350594257	46	361	45	124	40	42
1669432964.350561241	46	363	45	126	40	42
1669432965.350585609	47	369	45	128	40	44
1669432966.350398238	47	373	45	130	40	44
1669432967.350350228	47	380	45	134	40	44
1669432968.350203870	47	662	45	136	40	44
1669432969.350209879	47	786	45	140	40	44
1669432970.350555954	47	913	45	144	41	46
1669432971.350350102	47	1044	45	362	41	46
1669432972.350209210	48	1073	47	372	43	46
1669432973.350185725	48	1073	47	382	43	48
1669432974.350308863	48	1073	47	384	45	48
1669432975.350517508	48	1032	47	384	45	48
1669432976.350375378	48	975	49	384	47	50
1669432977.350320515	48	921	49	386	47	50
1669432978.350184915	49	846	52	388	49	52
1669432979.350203575	49	744	52	388	49	54
1669432980.350404010	49	503	54	391	51	54
1669432981.350408829	50	507	54	391	51	57
1669432982.350540969	50	511	56	395	51	59
1669432983.350581584	50	512	56	193	53	61
1669432984.350310863	52	512	58	197	53	61
1669432985.350603575	52	512	61	201	53	63
1669432986.350321248	52	511	61	205	55	65
1669432987.350177983	52	509	63	209	55	67
1669432988.350177841	53	505	65	213	57	69
1669432989.350171549	53	501	65	217	57	71
1669432990.350113437	53	498	67	221	58	73
1669432991.350025370	54	494	70	226	58	75
1669432992.350028691	54	494	72	230	60	77
1669432993.350023719	55	494	74	234	62	79
1669432994.350024177	55	494	76	238	62	81
1669432995.350323585	56	706	79	242	64	83
1669432996.350200113	56	753	79	244	64	87
1669432997.350198654	57	755	81	248	66	89
1669432998.350459411	59	770	83	252	68	91
1669432999.350084337	60	788	85	256	70	93
1669433000.350768968	61	788	85	258	72	95
1669433001.350344279	182	712	88	262	74	99
1669433002.350359280	191	516	90	264	75	101
1669433003.350353667	197	518	90	268	77	104
1669433004.350373073	199	518	92	270	79	106
1669433005.350326620	212	518	92	272	81	106
1669433006.350239989	228	516	94	274	83	108
1669433007.350365616	243	514	97	276	85	110
1669433008.350179128	268	511	97	278	89	112
1669433009.350189015	291	507	99	281	91	114
1669433010.350322223	303	501	99	281	92	114
1669433011.350314324	318	496	101	283	94	116
1669433012.350380291	343	490	101	285	96	118
1669433013.350316323	370	484	103	287	100	120
1669433014.350431780	388	481	103	289	102	122
1669433015.350162435	397	479	106	291	104	124
1669433016.350067106	401	477	106	293	106	126
1669433017.350448707	401	475	108	295	108	128
1669433018.350610841	401	708	108	299	109	130
1669433019.350455675	397	788	110	301	111	132
1669433020.350476528	394	807	112	303	113	134
1669433021.350176046	385	807	115	307	115	136
1669433022.350180347	373	723	117	309	117	136
1669433023.350176788	363	479	119	311	119	138
1669433024.350183619	339	481	122	313	121	140
1669433025.350184846	315	484	124	315	123	142
1669433026.350170171	291	486	126	317	125	144
1669433027.350193787	262	490	131	319	126	146
1669433028.350196680	135	494	133	321	130	148
1669433029.350203673	138	496	135	323	132	151
1669433030.350261789	139	499	137	325	134	153
1669433031.350188840	141	501	142	327	138	155
1669433032.350333841	142	503	144	329	140	159
1669433033.350541996	144	503	146	333	142	161
1669433034.350531538	146	503	149	336	145	163
1669433035.350562495	147	501	153	338	147	165
1669433036.350165753	149	498	155	340	149	167
1669433037.350501534	150	498	158	340	153	169
1669433038.350245339	153	496	160	342	155	173
1669433039.350506966	154	496	164	344	157	175
1669433040.350577740	156	496	167	346	160	177
1669433041.350496055	157	498	169	346	162	181
1669433042.350326871	160	697	171	348	166	183
1669433043.350464779	161	794	176	350	168	187
1669433044.350393455	163	848	178	352	170	189
1669433045.350296293	164	872	180	352	174	193
1669433046.350101944	165	885	182	354	176	197
1669433047.350084026	168	887	187	356	177	200
1669433048.350041842	169	893	189	356	181	204
1669433049.350586158	170	893	191	358	183	208
1669433050.350189381	172	893	196	360	185	210
1669433051.350184718	174	896	198	360	189	214
1669433052.350358342	175	896	200	362	191	216
1669433053.350193936	176	893	203	362	193	218
1669433054.350178828	177	885	207	364	194	222
1669433055.350178005	179	872	210	364	196	224
1669433056.350179048	180	814	212	366	200	226
1669433057.350211089	182	593	217	366	202	228
1669433058.350266790	183	591	219	368	204	230
1669433059.350452262	184	587	222	368	206	232
1669433060.350416900	186	581	224	370	208	236
1669433061.350391606	187	576	229	370	210	238
1669433062.350364377	189	570	232	372	211	240
1669433063.350363293	190	566	234	372	213	242
1669433064.350384523	191	561	237	374	213	245
1669433065.350732331	192	559	239	374	215	245
1669433066.350409175	193	555	242	376	217	247
1669433067.350204679	194	555	244	376	219	249
1669433068.350193747	196	747	246	378	221	251
1669433069.350858870	197	777	249	378	223	251
1669433070.350452087	197	777	251	378	227	253
1669433071.350325982	198	773	251	378	230	253
1669433072.350178867	199	568	254	380	232	255
1669433073.350183255	200	572	256	380	236	255
1669433074.350178411	201	578	259	380	240	257
1669433075.350443400	203	583	261	382	244	257
1669433076.350508609	203	587	261	382	246	259
1669433077.350366244	204	591	264	382	249	259
1669433078.350365357	204	594	266	384	253	261
1669433079.350277824	205	594	266	384	255	261
1669433080.350453583	206	594	269	384	259	261
1669433081.350431722	207	593	269	386	261	263
1669433082.350301432	207	591	271	388	264	263
1669433083.350434122	208	585	271	388	266	263
1669433084.350203942	210	580	274	391	270	265
1669433085.350572440	210	574	276	391	272	265
1669433086.350365134	211	570	276	393	276	265
1669433087.350213791	212	566	279	395	278	265
1669433088.350347021	212	563	281	397	281	265
1669433089.350320642	213	561	283	397	283	265
1669433090.350140310	213	561	286	399	285	263
