time	PM_0	PM_1	PM_2	PM_3	PM_4	PM_5
1669441500.602842683	0	0	0	0	0	0
1669441501.602781321	0	48	40	42	38	30
1669441502.602927441	40	47	40	42	38	30
1669441503.602956189	40	47	43	42	38	30
1669441504.602911641	40	47	43	42	38	30
1669441505.603080978	40	47	43	42	38	30
1669441506.603069355	40	47	43	42	38	30
1669441507.603065271	40	47	43	42	38	30
1669441508.603076792	40	47	43	42	38	30
1669441509.603284071	40	47	43	42	38	30
1669441510.603243277	40	47	43	42	40	30
1669441511.603204989	40	47	43	42	40	30
1669441512.603754271	40	47	43	42	40	30
1669441513.603414285	40	47	43	42	40	32
1669441514.603260938	40	47	43	42	40	32
1669441515.603262721	40	47	43	42	40	32
1669441516.603289946	40	47	43	42	40	32
1669441517.609542165	40	47	43	42	40	32
1669441518.603253421	40	47	43	42	40	32
1669441519.603206267	40	47	43	42	40	32
1669441520.602982502	40	47	43	42	40	32
1669441521.604058204	40	47	43	42	40	32
1669441522.604226976	40	47	43	42	40	32
1669441523.602971182	40	47	43	42	40	32
1669441524.603623161	40	47	43	42	40	32
1669441525.603616832	40	47	43	42	40	32
1669441526.604438808	40	47	43	42	40	32
1669441527.603591687	40	47	43	42	40	32
1669441528.603338664	40	47	43	44	40	32
1669441529.603085680	40	47	43	44	40	32
1669441530.603170260	40	47	43	44	40	32
1669441531.603251444	40	47	43	44	40	32
1669441532.603079041	40	47	45	44	40	32
1669441533.603239847	40	47	45	44	40	32
1669441534.602905121	40	47	45	44	40	32
1669441535.603274160	40	47	45	44	40	32
1669441536.603212100	40	47	45	44	40	32
1669441537.603237404	40	47	45	44	40	32
1669441538.603191668	40	47	45	44	40	32
1669441539.603243618	40	47	45	44	40	32
1669441540.603239318	40	47	43	44	40	32
1669441541.603244116	40	47	43	44	40	32
1669441542.603221410	40	47	43	44	40	32
1669441543.603234884	40	47	43	44	40	32
1669441544.603210810	40	47	43	44	40	32
1669441545.603241810	40	47	43	44	40	32
1669441546.603242930	40	47	43	44	40	32
1669441547.603202579	40	47	43	44	40	32
1669441548.603248095	40	47	43	44	40	32
1669441549.603263523	40	47	43	44	40	32
1669441550.603294929	40	47	43	44	40	32
1669441551.603268817	40	47	43	44	40	32
1669441552.603164176	40	47	45	44	40	32
1669441553.603413915	40	47	45	44	40	32
1669441554.603421068	40	47	45	44	40	32
1669441555.603286461	40	47	45	44	40	32
1669441556.603010493	40	47	45	44	40	32
1669441557.603602555	40	47	45	42	40	32
1669441558.603171307	40	47	45	42	40	32
1669441559.603761004	40	47	45	42	40	32
1669441560.604190338	40	47	45	42	40	32
1669441561.603796620	41	47	45	42	40	32
1669441562.603247669	41	48	45	42	40	32
1669441563.603111436	41	48	45	42	40	32
1669441564.602914000	41	48	45	42	40	32
1669441565.603233982	41	48	45	42	40	32
1669441566.603228582	41	48	45	42	40	32
1669441567.603194438	41	50	45	42	40	32
1669441568.603261996	41	50	45	42	40	32
1669441569.603238958	41	50	45	42	40	32
1669441570.603227789	41	50	45	42	40	32
1669441571.603270960	41	50	45	42	40	32
1669441572.603106409	41	52	45	42	40	32
1669441573.603212544	41	52	45	42	40	32
1669441574.603219584	41	52	45	42	40	32
1669441575.603146745	41	54	45	42	40	32
1669441576.603314272	41	54	45	42	40	32
1669441577.603321642	41	56	45	42	40	32
1669441578.603293767	41	56	45	42	40	32
1669441579.602993322	42	58	45	42	40	32
1669441580.603074818	42	60	45	42	40	32
1669441581.603182144	42	60	45	42	40	32
1669441582.603222766	42	61	45	42	40	32
1669441583.603189025	42	61	45	42	40	32
1669441584.603243552	43	63	45	42	40	32
1669441585.603191165	43	65	43	42	40	32
1669441586.603284598	43	65	43	42	40	32
1669441587.603228277	43	67	43	42	40	32
1669441588.603206410	43	69	43	42	40	32
1669441589.603259849	43	69	43	42	40	32
1669441590.603215410	43	71	43	42	40	32
1669441591.603232371	43	73	43	42	40	32
1669441592.603147565	45	73	43	42	40	32
1669441593.603313072	45	75	43	42	40	32
1669441594.603244274	45	76	43	42	40	32
1669441595.603240726	45	78	43	42	40	32
1669441596.603240758	45	80	43	42	40	32
1669441597.603234243	45	82	43	42	40	32
1669441598.603228320	45	84	43	42	40	32
1669441599.603140555	45	86	43	44	40	32
1669441600.603031685	45	88	43	44	40	32
1669441601.603240815	45	89	43	46	40	32
1669441602.603257646	45	91	43	46	40	32
1669441603.603149582	45	93	43	46	40	32
1669441604.603064600	45	95	43	48	40	32
1669441605.603069759	45	97	43	48	40	32
1669441606.603044661	45	99	43	50	40	32
1669441607.603250781	45	101	43	50	40	32
1669441608.603058375	45	102	43	52	40	32
1669441609.603074364	45	104	43	52	38	32
1669441610.603068387	45	106	43	54	38	32
1669441611.603249443	45	108	43	54	38	32
1669441612.603250593	45	110	43	56	38	32
1669441613.603262871	45	112	43	56	38	32
1669441614.603215981	45	114	43	58	38	32
1669441615.603209296	45	115	43	60	38	32
1669441616.603206113	45	117	43	60	38	32
1669441617.603079177	46	117	43	62	38	32
1669441618.602922057	46	119	43	65	38	32
1669441619.602922988	46	121	43	67	38	32
1669441620.602918800	46	123	43	69	38	32
1669441621.602909787	46	123	43	71	38	32
1669441622.603208180	46	125	43	73	38	32
1669441623.603134600	46	127	43	75	38	32
1669441624.602929283	46	127	43	79	38	32
1669441625.603135172	46	129	43	81	38	32
1669441626.603258924	46	130	43	83	38	32
1669441627.602918169	46	132	43	85	38	32
1669441628.603133294	46	134	43	87	38	32
1669441629.603176641	46	136	43	91	38	32
1669441630.603268415	46	138	43	93	38	32
1669441631.603074528	46	140	43	95	38	32
1669441632.603094022	46	142	43	97	38	32
1669441633.603258734	46	143	43	99	38	32
1669441634.603077074	46	145	43	103	38	32
1669441635.603059774	46	147	43	105	38	32
1669441636.603227485	46	149	43	107	38	32
1669441637.603260564	46	151	43	111	38	32
1669441638.603220586	46	153	43	113	38	32
1669441639.603265088	46	153	43	327	38	32
1669441640.603258420	46	155	43	354	38	32
1669441641.603254320	46	156	43	376	38	32
1669441642.603136235	46	158	43	388	38	32
1669441643.603260799	46	158	43	401	38	32
1669441644.603079337	46	160	43	401	38	32
1669441645.603275221	46	162	43	401	38	32
1669441646.603256776	46	162	43	401	38	32
1669441647.603164073	46	164	43	376	38	32
1669441648.603213108	46	166	43	152	38	32
1669441649.603266790	46	166	43	154	38	32
1669441650.603336851	46	168	43	158	38	32
1669441651.603210337	47	168	43	160	38	32
1669441652.603239029	47	168	43	162	38	32
1669441653.603267807	47	169	43	166	38	32
1669441654.603259096	47	169	43	168	38	32
1669441655.603181120	47	169	43	170	40	32
1669441656.603265457	47	171	43	175	40	32
1669441657.603073186	47	171	45	177	40	32
1669441658.603066761	47	171	45	179	40	32
1669441659.603075845	47	173	47	183	40	32
1669441660.603130854	47	173	49	185	40	32
1669441661.603128063	47	175	52	189	40	32
1669441662.603291147	48	175	296	193	40	32
1669441663.603131035	48	175	318	195	40	32
1669441664.603251367	48	177	335	199	40	32
1669441665.603346635	48	177	335	203	40	34
1669441666.603244827	48	179	330	454	41	34
1669441667.603281303	47	179	306	482	41	34
1669441668.603056558	47	179	72	501	41	34
1669441669.603249016	47	181	72	513	41	34
1669441670.603222638	47	181	74	529	41	34
1669441671.603257996	47	181	74	543	43	34
1669441672.603159839	47	181	76	592	43	34
1669441673.603276576	47	183	76	637	43	34
1669441674.603270854	47	183	76	655	43	34
1669441675.603233976	47	183	76	655	43	34
1669441676.602931944	47	183	79	653	45	34
1669441677.602932587	47	184	79	653	45	34
1669441678.602935637	47	184	81	653	45	34
1669441679.603136783	47	186	81	649	45	36
1669441680.604816749	48	186	83	635	45	36
1669441681.603415998	48	186	88	621	45	36
1669441682.603959594	48	188	90	576	45	36
1669441683.603892631	48	188	92	533	45	36
1669441684.604735482	49	188	97	315	47	36
1669441685.603259654	49	188	343	319	47	36
1669441686.603248531	49	188	343	321	49	38
1669441687.603241511	50	186	106	323	51	38
1669441688.603241323	50	186	106	325	53	38
1669441689.603266948	50	186	108	327	255	38
1669441690.603243907	52	184	110	327	279	38
1669441691.603085806	52	184	112	329	304	40
1669441692.603185763	53	184	112	331	329	40
1669441693.603298882	53	183	115	331	330	40
1669441694.602927578	53	183	117	333	342	42
1669441695.604307594	54	181	117	336	346	42
1669441696.603072744	54	181	119	336	372	42
1669441697.604336971	55	179	119	338	408	44
1669441698.603355728	55	177	122	340	448	44
1669441699.603185477	56	177	124	342	489	44
1669441700.603615455	56	175	126	344	536	46
1669441701.603219629	57	173	128	346	555	46
1669441702.602893385	57	173	128	348	561	46
1669441703.603041106	59	171	131	348	561	46
1669441704.602896255	60	171	133	350	561	48
1669441705.603030967	61	169	135	350	534	48
1669441706.602897336	61	169	140	352	504	48
1669441707.602893443	62	169	142	352	474	48
1669441708.602894103	63	168	146	352	453	48
1669441709.602919239	64	168	146	352	453	50
1669441710.602920088	64	168	417	352	455	50
1669441711.603167635	66	166	535	352	478	50
1669441712.603290410	67	166	535	352	517	52
1669441713.603434284	67	166	597	352	557	52
1669441714.603359797	68	164	663	352	616	52
1669441715.603251193	68	164	725	352	648	54
1669441716.603051924	69	164	776	352	682	54
1669441717.602912658	69	162	821	354	706	57
1669441718.602912212	70	162	855	354	708	57
1669441719.602907959	70	160	875	356	708	59
1669441720.603069507	71	160	897	356	702	59
1669441721.603127292	71	158	919	358	701	59
1669441722.603131670	71	158	919	358	687	61
1669441723.603124145	73	156	895	358	659	61
1669441724.603264814	73	156	845	360	651	63
1669441725.603271614	73	155	808	360	651	63
1669441726.602916875	73	155	769	360	651	63
1669441727.602920036	73	155	727	360	651	65
1669441728.602924114	73	155	685	360	655	65
1669441729.602920294	74	156	648	360	667	67
1669441730.603059289	74	156	604	360	667	67
1669441731.603056889	74	156	569	358	661	67
1669441732.603072703	74	158	318	358	640	69
1669441733.603093934	74	160	323	356	616	69
1669441734.603121512	74	160	328	356	587	71
1669441735.603059253	74	162	335	354	534	71
1669441736.603130108	74	164	340	354	325	73
1669441737.603254628	74	166	348	354	329	73
1669441738.603126554	74	166	352	354	332	75
1669441739.603254792	74	168	357	354	336	75
1669441740.603255902	74	169	362	354	340	77
1669441741.603210911	74	171	370	354	344	77
1669441742.603142154	74	173	375	354	347	79
1669441743.603215681	74	173	380	354	351	79
1669441744.603150939	74	175	385	354	355	81
1669441745.603257241	74	177	389	354	359	83
1669441746.603292798	74	179	394	354	363	83
1669441747.603348188	74	179	397	354	366	85
1669441748.603241684	74	181	402	354	370	85
1669441749.603079534	74	183	404	354	372	87
1669441750.603262449	74	184	407	354	376	89
1669441751.603252538	74	186	407	352	378	89
1669441752.603123502	74	188	409	352	380	91
1669441753.603126815	74	190	409	352	381	93
1669441754.603080253	74	190	412	350	385	93
1669441755.603062667	74	192	412	350	387	95
1669441756.603228318	74	194	414	348	391	95
1669441757.603256277	74	386	414	346	395	97
1669441758.603068502	74	404	417	346	400	97
1669441759.603269295	74	421	419	344	406	99
1669441760.603264754	74	432	424	344	412	99
1669441761.603264495	74	449	426	342	642	99
1669441762.603256510	74	466	431	342	689	101
1669441763.603260209	74	468	434	574	721	101
1669441764.603129300	74	470	439	608	746	104
1669441765.603260236	75	470	444	631	759	104
1669441766.603242448	75	468	449	661	759	104
1669441767.603170247	75	462	451	694	750	106
1669441768.603236683	76	455	454	737	733	106
