time	PM_0	PM_1	PM_2	PM_3	PM_4	PM_5
1669438763.511210208	0	0	0	0	0	0
1669438764.499167711	43	45	47	44	41	0
1669438765.499153764	43	45	47	44	41	32
1669438766.499150218	43	45	47	44	41	32
1669438767.499168165	43	45	47	44	41	32
1669438768.499150940	43	45	47	44	41	32
1669438769.499150891	43	45	47	44	41	32
1669438770.499655634	43	45	45	44	41	32
1669438771.499663151	43	45	45	44	41	32
1669438772.499684589	43	45	45	44	41	32
1669438773.499655256	43	45	45	44	41	32
1669438774.499664590	43	45	47	44	41	32
1669438775.499661168	43	45	47	44	41	32
1669438776.499648367	43	45	47	44	41	32
1669438777.499329023	43	45	47	44	41	32
1669438778.499570418	43	45	47	44	41	32
1669438779.499569875	43	47	47	44	41	32
1669438780.499616687	43	48	47	44	41	32
1669438781.499566280	43	48	47	44	41	32
1669438782.499521593	43	50	47	44	41	32
1669438783.499568114	43	52	47	44	41	32
1669438784.499705741	43	54	47	46	41	32
1669438785.499332026	43	56	47	46	41	32
1669438786.499647846	43	58	47	46	41	32
1669438787.499655759	43	60	47	48	41	32
1669438788.499653551	43	253	47	50	41	32
1669438789.499392880	43	291	47	50	41	32
1669438790.499582080	43	291	47	52	41	32
1669438791.499652768	43	287	49	54	41	32
1669438792.499624219	43	287	49	262	41	32
1669438793.499474539	42	285	49	289	41	32
1669438794.499390278	42	285	49	315	41	32
1669438795.499658153	42	80	52	342	41	32
1669438796.499467571	42	84	52	356	41	32
1669438797.499476608	42	86	52	368	41	32
1669438798.499478081	42	86	54	372	41	32
1669438799.499325465	42	88	54	374	41	32
1669438800.499473656	42	89	56	374	41	32
1669438801.499480653	42	91	56	372	41	32
1669438802.499523364	42	93	58	372	41	32
1669438803.499480815	42	95	61	370	41	32
1669438804.499328157	42	97	63	370	41	32
1669438805.499321803	42	99	65	366	41	32
1669438806.499551275	42	101	65	366	41	32
1669438807.499548174	42	102	70	370	41	32
1669438808.499653279	42	104	72	372	41	32
1669438809.499472029	42	108	74	376	41	32
1669438810.499567011	42	110	313	382	41	32
1669438811.499474208	42	112	315	384	41	32
1669438812.499655903	42	114	323	384	41	32
1669438813.499522915	42	115	328	380	41	32
1669438814.499737797	42	117	330	372	43	32
1669438815.499662356	42	119	330	366	43	32
1669438816.499474197	42	121	94	364	43	32
1669438817.499897686	42	123	99	360	43	32
1669438818.499446646	42	125	101	150	43	32
1669438819.499656694	42	127	103	154	45	32
1669438820.499520554	42	129	108	156	45	32
1669438821.499463372	42	130	110	160	45	32
1669438822.500103729	42	132	115	162	47	32
1669438823.500157391	42	134	117	166	47	32
1669438824.500308169	42	136	122	168	47	32
1669438825.499576127	42	138	367	172	49	32
1669438826.499687587	42	138	375	177	49	32
1669438827.499636187	42	140	382	179	51	32
1669438828.499650318	42	142	387	183	51	32
1669438829.499646086	42	143	394	187	53	32
1669438830.499612760	42	145	397	189	53	32
1669438831.499652428	42	145	397	193	55	32
1669438832.499670311	42	147	397	195	57	32
1669438833.499660027	42	149	153	199	57	32
1669438834.499674124	42	149	158	201	58	32
1669438835.499526347	42	151	162	205	58	32
1669438836.499692926	42	153	164	207	60	32
1669438837.499697482	42	155	169	209	62	34
1669438838.499647707	42	156	173	211	62	34
1669438839.499661667	42	158	176	215	64	34
1669438840.499654960	42	158	180	217	64	34
1669438841.499740159	42	160	185	219	66	34
1669438842.499742676	42	162	189	221	66	34
1669438843.499742986	42	164	191	226	68	34
1669438844.499521113	42	164	196	228	70	34
1669438845.499575862	42	166	198	230	70	34
1669438846.499617326	42	168	203	234	72	34
1669438847.499523037	42	169	205	236	74	36
1669438848.499690233	42	169	210	240	74	36
1669438849.499727865	42	171	212	242	75	36
1669438850.499730205	42	173	214	246	77	36
1669438851.499736805	42	173	219	248	79	36
1669438852.499518270	42	175	222	252	81	38
1669438853.499559586	42	177	224	256	83	38
1669438854.499643379	42	177	229	258	83	38
1669438855.499733273	42	179	232	262	85	38
1669438856.499652003	42	181	234	264	87	40
1669438857.499654612	42	183	239	268	89	40
1669438858.499671830	42	186	242	272	91	40
1669438859.499737524	42	188	244	274	92	40
1669438860.499605222	42	192	249	278	92	42
1669438861.499658221	42	194	251	281	94	42
1669438862.499647067	42	197	254	285	96	42
1669438863.499669984	41	199	259	287	98	42
1669438864.499603718	41	203	261	291	100	44
